dstv1.app	dstv1.country	dstv1.raw_devices	dstv1.raw_users	dstv1.raw_installs	dstv1.raw_uninstalls	dstv1.raw_updates	dstv1.raw_sessions	dstv1.raw_usage_time	dstv1.raw_sessions_squared	dstv1.raw_real_sessions_squared	dstv1.raw_usage_squared	dstv1.raw_is_installed	dstv1.raw_is_uninstalled	dstv1.raw_qualifying_as_active_users	dstv1.reach	dstv1.active_users	dstv1.sessions	dstv1.usage_time	dstv1.year	dstv1.month	dstv1.day
com.dstvmobile.app.adrifta.product	288	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.94777480662E-4	2.75705349469E-6	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	480	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.71213589322E-5	0.0	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	56	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.7282765894E-5	0.0	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	430	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00250824891487	0.0	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	404	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67179240717E-4	0.0	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	784	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.12307977988E-5	0.0	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	710	178.0	3.0	2.0	0.0	0.0	5.0	35025.164	4.0	11.0	8.13219168956E8	2.0	0.0	109.0	7.7137924312E-4	2.21495733568E-5	3.69159555946E-5	0.258597479783	16	11	19
com.dstvmobile.app.adrifta.product	50	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.72601868149E-6	0.0	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	826	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.58513480418E-41	0.0	NULL	NULL	16	11	19
com.dstvmobile.app.adrifta.product	566	74.0	3.0	2.0	1.0	0.0	4.0	82.375	1.0	6.0	3062.199425	2.0	1.0	58.0	0.00197870118641	1.02417938246E-4	1.36557250994E-4	0.00281222588766	16	11	19
com.dstvmobile.app.adrifta.product	524	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.25704133891E-6	0.0	NULL	NULL	16	11	19
