oldnewmobile.site	oldnewmobile.country	oldnewmobile.oldest	oldnewmobile.newest	oldnewmobile.year	oldnewmobile.month
lancome.co.uk*	826	95146.88381069452	123108.24032895503	16	8
lancome.co.uk*	826	79649.14621557546	125197.1841761766	16	6
lancome.co.uk*	826	94121.91347168731	125340.53724373183	16	10
lancome.co.uk*	826	86702.63109277857	126505.99986153671	16	7
lancome.co.uk*	826	88144.72104573657	137132.1973427564	16	5
lancome.co.uk*	826	98216.05247342678	140897.2838505252	16	3
lancome.co.uk*	826	111458.46254230948	158832.46205639542	16	4
lancome.co.uk*	826	126837.5988961181	165814.70912684163	16	9
lancome.co.uk*	826	135497.33491177356	175264.33650819404	17	1
lancome.co.uk*	826	137039.99299900953	190487.4936036752	16	11
lancome.co.uk*	826	106637.20334658105	194797.57533956334	17	3
lancome.co.uk*	826	348234.03676600306	409114.8240878492	16	12
laroche-posay.es*	724	54936.262999936465	113598.06517096345	16	12
laroche-posay.es*	724	51106.62363478414	114808.32911025289	16	5
laroche-posay.es*	724	56297.68644047887	125249.26728320765	16	1
laroche-posay.es*	724	62081.79438459574	128440.40991355981	16	8
laroche-posay.es*	724	60127.27412578142	129095.83192626796	16	4
laroche-posay.es*	724	63073.643936946224	133571.13911716375	16	9
laroche-posay.es*	724	53022.33179526727	140906.43477666803	17	4
laroche-posay.es*	724	75401.86047265765	163111.63316674033	16	7
laroche-posay.es*	724	69236.0542692428	165515.2675506812	17	1
laroche-posay.es*	724	73492.87679810732	168237.53308491534	16	2
laroche-posay.es*	724	69542.06276435597	179020.8286295899	17	5
laroche-posay.es*	724	78533.60392799591	179884.5813563911	16	11
laroche-posay.es*	724	75652.84462581309	183006.96088024433	17	2
laroche-posay.es*	724	86461.5726806998	193273.2580074143	16	3
laroche-posay.es*	724	83711.39237406729	208252.6420393957	17	3
laroche-posay.es*	724	73283.00032362957	212425.6512213901	17	6
laroche-posay.es*	724	96894.26549957889	224786.44952209233	16	10
laroche-posay.es*	724	78586.3350327546	227785.64651442814	17	7
laroche-posay.es*	724	107057.19239969678	230442.85252909025	16	6
laroche-posay.fr*	250	58090.052616626985	146651.52365492686	16	11
laroche-posay.fr*	250	62568.011183475384	169518.94705079927	16	1
laroche-posay.fr*	250	75888.36340397038	175929.8959936892	16	4
laroche-posay.fr*	250	101397.60360742535	179064.627302138	16	12
laroche-posay.fr*	250	79755.39542345029	193929.6363016583	16	6
laroche-posay.fr*	250	94117.2126195333	195527.73193590753	17	2
laroche-posay.fr*	250	86136.18430335447	197292.98774708615	17	5
laroche-posay.fr*	250	97411.47690688398	197984.4847754876	16	8
laroche-posay.fr*	250	88911.4785961891	199641.4232735085	17	7
laroche-posay.fr*	250	91677.36023199884	203221.02115195873	16	7
laroche-posay.fr*	250	79483.5060814366	208509.08139567907	16	2
laroche-posay.fr*	250	86749.41621112482	210830.47429064874	16	5
laroche-posay.fr*	250	96578.69228847689	224726.50399604125	16	3
laroche-posay.fr*	250	108716.22137367059	226814.23547100488	17	4
laroche-posay.fr*	250	98470.83395332038	232416.48758008386	16	10
laroche-posay.fr*	250	116048.28854597312	245134.71764718732	16	9
laroche-posay.fr*	250	132867.4539180621	257391.67207986454	17	3
laroche-posay.fr*	250	149649.135402057	289107.66608723346	17	1
laroche-posay.fr*	250	142536.70748296077	331027.32414202386	17	6
laroche-posay.ru*	643	57812.390633095296	134637.38492408366	16	9
laroche-posay.ru*	643	56790.01938138083	142148.78206901593	16	2
laroche-posay.ru*	643	73177.34053567621	167679.82606000456	16	5
laroche-posay.ru*	643	68668.91709383857	170433.51850809142	16	10
laroche-posay.ru*	643	83943.47503870737	182509.1361723972	16	7
laroche-posay.ru*	643	81069.00513506602	185848.34623364426	16	6
laroche-posay.ru*	643	67957.68540561755	187206.7058132035	17	1
laroche-posay.ru*	643	75732.9393458263	197066.05362034315	17	2
laroche-posay.ru*	643	93246.23933034102	200168.42224056128	16	8
laroche-posay.ru*	643	90363.48361191765	212344.43156596305	16	4
laroche-posay.ru*	643	116958.24420287751	224432.25050624827	16	3
laroche-posay.ru*	643	78047.35369181278	225204.2518379873	17	7
laroche-posay.ru*	643	98605.32817290742	238054.6677579041	16	12
laroche-posay.ru*	643	88420.11058593668	244793.75790805207	17	5
laroche-posay.ru*	643	106513.21795463856	249111.75459704606	17	4
laroche-posay.ru*	643	104686.55091131294	264630.0761946408	16	11
laroche-posay.ru*	643	95834.599816028	269422.8934062086	17	6
laroche-posay.ru*	643	137680.89499087914	285621.07333119074	17	3
laroche-posay.ru*	643	125265.81703927263	301383.20169033826	16	1
larocheposay.de*	276	52671.33386766443	150412.71730936103	17	6
larocheposay.de*	276	70635.43082095179	162861.68098504163	16	5
larocheposay.de*	276	65448.79684111002	206205.0258687654	17	2
larocheposay.de*	276	72592.90173571672	225758.08321484653	17	5
larocheposay.de*	276	78169.06032694918	232174.54792666095	17	4
larocheposay.de*	276	88848.8377024659	235753.22592311725	16	10
larocheposay.de*	276	87127.58993131468	236637.97487873706	16	2
larocheposay.de*	276	86990.4441981745	237972.349890144	16	11
larocheposay.de*	276	81221.80747098978	247669.27067432523	17	1
larocheposay.de*	276	82444.12499182882	261833.3087007713	17	7
larocheposay.de*	276	110835.86940206062	267697.83309108135	16	3
larocheposay.de*	276	78149.2807157688	273295.0946594838	17	3
larocheposay.de*	276	109841.96250916828	295014.78009593184	16	12
larocheposay.de*	276	140541.1507310256	357282.00319852086	16	9
larocheposay.de*	276	162821.7898930218	385219.2289222108	16	6
larocheposay.de*	276	181788.86287923946	434928.5706018817	16	4
larocheposay.de*	276	155261.753218487	435600.3383012868	16	1
larocheposay.de*	276	272558.65149346786	663557.4517264763	16	8
larocheposay.de*	276	277455.5239769096	677254.0799650169	16	7
loreal-paris.co.uk*	826	170731.86587228486	206116.0709609156	16	12
loreal-paris.co.uk*	826	148476.01271421372	273646.0778644008	17	7
loreal-paris.co.uk*	826	164740.93213126378	277306.6371091609	17	6
loreal-paris.co.uk*	826	203908.35496452963	281174.88510425575	16	11
loreal-paris.co.uk*	826	213749.87160505418	285614.5558069903	17	4
loreal-paris.co.uk*	826	176122.633200769	318721.6886192096	17	5
loreal-paris.co.uk*	826	257172.2290987877	369849.53305897175	16	7
loreal-paris.co.uk*	826	293950.0987984989	381472.3646735678	16	10
loreal-paris.co.uk*	826	257461.092581497	389763.94310288504	17	2
loreal-paris.co.uk*	826	332122.1024266402	423088.9585898497	16	9
loreal-paris.co.uk*	826	278615.0957215027	426318.0717189637	16	3
loreal-paris.co.uk*	826	287756.6982223063	428080.7689104589	16	4
loreal-paris.co.uk*	826	255482.4127123362	446398.06675759604	16	2
loreal-paris.co.uk*	826	262435.7033885647	448160.5468721274	16	1
loreal-paris.co.uk*	826	309842.1497159551	450879.0998548676	17	1
loreal-paris.co.uk*	826	288894.9865710215	461230.37519526074	16	5
loreal-paris.co.uk*	826	332723.115167384	534353.7738497234	17	3
loreal-paris.co.uk*	826	422002.6910348892	535336.3485410869	16	8
loreal-paris.co.uk*	826	402636.4321484614	645076.9067472442	16	6
loreal-paris.ru*	643	122890.5137451544	431213.99540224054	16	1
loreal-paris.ru*	643	154890.8243510806	581529.7183974868	16	7
loreal-paris.ru*	643	177277.4417088523	712335.2117323163	17	2
loreal-paris.ru*	643	192410.4866598913	747996.2064609148	16	5
loreal-paris.ru*	643	225372.28326863228	775174.8662904969	16	3
loreal-paris.ru*	643	247007.83615664145	875188.7528997003	16	2
loreal-paris.ru*	643	216571.46871247588	904412.4271854821	17	4
loreal-paris.ru*	643	257406.21948541407	1032822.5494655117	16	11
loreal-paris.ru*	643	230198.6856374226	1053529.9440279435	17	3
loreal-paris.ru*	643	283942.7358858468	1054217.1247194116	16	4
loreal-paris.ru*	643	295043.32803542214	1067357.3055932575	16	8
loreal-paris.ru*	643	263692.62806504447	1099510.1284396907	16	10
loreal-paris.ru*	643	302118.81767203374	1217014.9374462406	17	1
loreal-paris.ru*	643	373464.780659886	1415088.4644010172	16	12
loreal-paris.ru*	643	313199.86636021984	1439613.7124289616	17	6
loreal-paris.ru*	643	372279.99621197453	1486011.069564033	16	6
loreal-paris.ru*	643	400552.7257226666	1712385.5411762889	17	5
loreal-paris.ru*	643	369958.9749391827	1747328.5937941833	17	7
loreal-paris.ru*	643	587154.0173379229	2342908.68986282	16	9
