googleamp.site	googleamp.pages	googleamp.year	googleamp.month
disneystore.de	["facebook.com/DisneyStore/videos/10154598834179927/?hc_ref=NEWSFEED"]	16	11
disneystore.de	["facebook.com/DisneyStore/videos/10154598834179927/?hc_ref=NEWSFEED"]	16	11
