monthlycountrydis.site	monthlycountrydis.country	monthlycountrydis.dvisits	monthlycountrydis.dusers	monthlycountrydis.mvisits	monthlycountrydis.musers	monthlycountrydis.year	monthlycountrydis.month
disneystore.de*	498	86.97924657	86.97924657	0	0	16	11
disneystore.de*	112	87.55348172	87.55348172	0	0	16	11
disneystore.de*	528	665.8566797	665.8566797	0	0	16	11
disneystore.de*	688	172.6877386	143.9353865	0	0	16	11
disneystore.de*	752	110.5929851	110.5929851	0	0	16	11
disneystore.de*	398	28.98297108	28.98297108	0	0	16	11
disneystore.de*	76	331.028842	218.2862683	0	0	16	11
disneystore.de*	203	230.0643612	230.0643612	1175.997381	205.0978432	16	11
disneystore.de*	40	10256.11283	9396.765361	12313.21872	3935.652988	16	12
disneystore.de*	616	583.6740472	583.6740472	567.4185654	0	16	12
disneystore.de*	840	1873.45284	1636.753217	0	0	16	12
disneystore.de*	999	146270.3123	137602.6659	227431.8919	118441.6101	16	12
disneystore.de*	100	910.6328188	746.3396608	0	0	16	12
disneystore.de*	356	94.51747682	94.51747682	0	0	16	12
disneystore.de*	804	348.5485196	322.813616	0	0	16	12
disneystore.de*	643	1300.498439	1231.336772	670.4567462	77.88191811	16	12
disneystore.de*	642	156.7291023	156.7291023	92.79832212	0	16	12
disneystore.de*	191	0	0	0	0	16	12
disneystore.de*	703	863.2186897	863.2186897	0	0	16	12
disneystore.de*	862	306.5686638	306.5686638	0	0	16	12
disneystore.de*	380	357.861449	357.861449	0	0	16	12
disneystore.de*	250	530.24886	530.24886	0	0	16	12
disneystore.de*	442	186.9359077	186.9359077	0	0	16	12
disneystore.de*	826	413.1220595	413.1220595	0	0	16	12
disneystore.de*	56	257.3021897	257.3021897	0	0	16	12
disneystore.de*	376	76.77257983	76.77257983	74.4405795	0	16	12
disneystore.de*	792	0	0	226.33065	40.26457923	16	12
disneystore.de*	246	209.1630987	209.1630987	0	0	16	12
disneystore.de*	276	118912.1618	111825.9629	168766.7286	102693.8384	16	12
disneystore.de*	372	0	0	0	0	16	12
disneystore.de*	724	692.5316855	692.5316855	0	0	16	12
disneystore.de*	756	6325.46175	6128.475879	44246.13779	11608.20531	16	12
disneystore.de*	112	28.20327572	28.20327572	0	0	16	12
disneystore.de*	528	338.5645732	338.5645732	0	0	16	12
disneystore.de*	688	355.0683983	325.8434475	0	0	16	12
disneystore.de*	752	80.94367485	80.94367485	0	0	16	12
disneystore.de*	784	194.3821694	194.3821694	0	0	16	12
disneystore.de*	398	32.31831009	32.31831009	0	0	16	12
disneystore.de*	300	263.9278281	263.9278281	0	0	16	12
disneystore.de*	364	109.0751682	109.0751682	0	0	16	12
disneystore.de*	428	68.89316419	68.89316419	0	0	16	12
disneystore.de*	620	143.4210001	143.4210001	0	0	16	12
disneystore.de*	203	0	0	474.36184	85.76687967	16	12
disneystore.de*	84012	125.4530543	125.4530543	0	0	16	11
disneystore.de*	84048	97.08165926	97.08165926	0	0	16	11
disneystore.de*	8406	100.6252078	100.6252078	0	0	16	11
disneystore.de*	84039	97.82470861	97.82470861	0	0	16	11
disneystore.de*	84036	318.0290071	318.0290071	0	0	16	10
disneystore.de*	84012	684.7850011	684.7850011	0	0	16	10
disneystore.de*	84044	90.64671342	90.64671342	0	0	16	10
disneystore.de*	8404	140.6962114	140.6962114	0	0	16	9
disneystore.de*	84036	279.8449263	279.8449263	0	0	16	9
disneystore.de*	84048	144.9608714	144.9608714	0	0	16	9
disneystore.de*	84021	94.26084574	94.26084574	0	0	16	9
disneystore.de*	8406	500.0380053	449.4687372	0	0	16	9
disneystore.de*	84024	161.3577873	161.3577873	0	0	16	12
disneystore.de*	84036	125.3984001	125.3984001	0	0	16	12
disneystore.de*	84048	1174.737511	938.0378877	0	0	16	12
disneystore.de*	84012	111.140499	111.140499	0	0	16	12
disneystore.de*	8406	274.0997397	274.0997397	0	0	16	12
disneystore.de*	84026	136.2232928	136.2232928	0	0	16	12
disneystore.de*	84010	100.0611717	100.0611717	0	0	16	12
disneystore.de*	0	578221		810228		16	1
disneystore.de*	0	531963		551251		16	2
disneystore.de*	0	737809		816799		16	3
disneystore.de*	0	761158		886500		16	4
disneystore.de*	0	787156		868147		16	5
disneystore.de*	0	606290		730511		16	6
disneystore.de*	0	648747		787182		16	7
disneystore.de*	0	515622		705999		16	8
disneystore.de*	0	539364		664591		16	9
disneystore.de*	0	633473		749197		16	10
disneystore.de*	0	567863		738962		16	11
disneystore.de*	0	722095		853444		16	12
