site	country	source	site2	traffic_source	landingpage	sendingpage	user	pages	timestamps	refpath	year	month	day
sportinglife.com*	826	1940	skybet.com	5	pick7.sportinglife.com/?dcmp=bet_TN	skybet.com/horse-racing/roscommon/event/20862974	j1495hi8q9r994m6b8q8ed07hk0	"[""pick7.sportinglife.com/?dcmp=bet_TN"",""pick7.sportinglife.com/play"",""pick7.sportinglife.com/play#2"",""pick7.sportinglife.com/play#3"",""pick7.sportinglife.com/play#4"",""pick7.sportinglife.com/play#5"",""pick7.sportinglife.com/play#6"",""pick7.sportinglife.com/play#7"",""pick7.sportinglife.com/play#8"",""pick7.sportinglife.com/play#9"",""pick7.sportinglife.com/played#9"",""pick7.sportinglife.com"",""pick7.sportinglife.com/?dcmp=bet_TN"",""pick7.sportinglife.com/play"",""pick7.sportinglife.com/play#2"",""pick7.sportinglife.com/play#3"",""pick7.sportinglife.com/play#4"",""pick7.sportinglife.com/play#5"",""pick7.sportinglife.com/play#6"",""pick7.sportinglife.com/play#7"",""pick7.sportinglife.com/play#8"",""pick7.sportinglife.com/play#9"",""pick7.sportinglife.com/played#9"",""pick7.sportinglife.com""]"	"[1497249029946,1497249045166,1497249131320,1497249916744,1497249919309,1497250971008,1497251787214,1497252416321,1497253022222,1497253026078,1497253028924,1497253033756,1497254718212,1497254735276,1497254757787,1497254774123,1497254777643,1497254783497,1497254788769,1497254804247,1497254814052,1497254817867,1497254820118,1497254825309]"	"[""pick7.sportinglife.com/?dcmp=bet_TN""]"	17	6	12
sportinglife.com*	826	576	skybet.com	5	pick7.sportinglife.com	skybet.com	nlhclb48ooqhc5bkbmo65bff70c	"[""pick7.sportinglife.com"",""pick7.sportinglife.com"",""pick7.sportinglife.com/results""]"	"[1498730487000,1498730489000,1498730495000]"	"[""pick7.sportinglife.com""]"	17	6	29
sportinglife.com*	826	576	skybet.com	5	sportinglife.com	skybet.com/?dcmp=sl_hr_betlink&aff=11166	hqg2r6rq6165o77gqjo62o012p2	"[""sportinglife.com"",""sportinglife.com/racing/fast-results"",""sportinglife.com/racing/racecards"",""sportinglife.com/racing/racecards/2017-06-08/haydock/racecard/431457/188bet.co.uk-handicap"",""sportinglife.com/racing/results"",""sportinglife.com/racing/results/2017-06-08/haydock/431457/188bet.co.uk-handicap"",""sportinglife.com/racing/results/2017-06-08/haydock/431460/scotland-v-england-betting-at-188bet-novice-stakes-(plus-10)"",""sportinglife.com/racing/results/2017-06-08/haydock/431462/188bet-ebf-maiden-fillies'-stakes-(plus-10)"",""sportinglife.com/racing/results/2017-06-08/haydock/431465/rugby-union-betting-at-188bet-handicap"",""sportinglife.com/racing/fast-results""]"	"[1496934508000,1496934509000,1496934542000,1496934544000,1496934561000,1496934563000,1496934577000,1496934582000,1496934584000,1496935026000]"	"[""sportinglife.com""]"	17	6	8
sportinglife.com*	826	576	skybet.com	5	pick7.sportinglife.com/?dcmp=bet_TN	skybet.com	le9ll02goj2f7c84g0kaq1i0cpq	"[""pick7.sportinglife.com/?dcmp=bet_TN"",""pick7.sportinglife.com/?dcmp=bet_TN"",""pick7.sportinglife.com/play""]"	"[1497616722000,1497616725000,1497616753000]"	"[""pick7.sportinglife.com/?dcmp=bet_TN""]"	17	6	16
sportinglife.com*	826	576	skybet.com	5	sportinglife.com/racing/fast-results	skybet.com/horse-racing/goodwood/event/20846364	lqdfghq287401i5iialbj7loqd9	"[""sportinglife.com/racing/fast-results"",""sportinglife.com/racing/results/2017-06-09/goodwood/431568/fever-tree-maiden-stakes"",""sportinglife.com/racing/fast-results""]"	"[1497031762000,1497032410000,1497032423000]"	"[""sportinglife.com/racing/fast-results""]"	17	6	9
sportinglife.com*	826	576	skybet.com	5	sportinglife.com/racing/fast-results	skybet.com/horse-racing/evangeline/event/20850204	lqdfghq287401i5iialbj7loqd9	"[""sportinglife.com/racing/fast-results"",""sportinglife.com/racing/results/2017-06-09/evangeline-downs/432082/race-2-claiming"",""sportinglife.com/racing/fast-results"",""sportinglife.com/racing/results/2017-06-09/penn-national/432085/race-3-claiming""]"	"[1497049372000,1497049406000,1497049415000,1497049458000]"	"[""sportinglife.com/racing/fast-results""]"	17	6	9
sportinglife.com*	826	1550	skybet.com	5	sportinglife.com/racing	skybet.com/horse-racing/fairyhouse	3BitEKTITNgyRkq	"[""sportinglife.com/racing"",""sportinglife.com/racing/news/moore-scores-on-de-bruyne-horse/73592"",""sportinglife.com/racing"",""sportinglife.com/racing/news/reel-brilliant-in-coronation/73652"",""sportinglife.com/racing"",""sportinglife.com/racing/news/investec-oaks-day-preview-package/72177"",""m.sportinglife.com/racing/news/fran-berry:-derby-dreams/73201"",""sportinglife.com/racing/news/investec-oaks-day-preview-package/72177"",""sportinglife.com/racing"",""sportinglife.com/racing/news/lydia-hislop:-road-to-derby/73514""]"	"[1496414184979,1496414194276,1496414307565,1496414312256,1496414415408,1496414435535,1496414470878,1496414582430,1496414585311,1496414597471]"	"[""sportinglife.com/racing""]"	17	6	2
sportinglife.com*	826	1822	skybet.com	5	pick7.sportinglife.com	skybet.com	vZUJKEO05o3nZAZ	"[""pick7.sportinglife.com"",""pick7.sportinglife.com"",""pick7.sportinglife.com/results""]"	"[1497768909591,1497768910531,1497768949803]"	"[""pick7.sportinglife.com""]"	17	6	18
sportinglife.com*	826	576	skybet.com	5	sportinglife.com/racing/fast-results	skybet.com/horse-racing/listowel/event/20826889	lqdfghq287401i5iialbj7loqd9	"[""sportinglife.com/racing/fast-results"",""sportinglife.com/racing/fast-results"",""sportinglife.com/racing/fast-results""]"	"[1496577882000,1496578009000,1496578010000]"	"[""sportinglife.com/racing/fast-results""]"	17	6	4
sportinglife.com*	826	576	skybet.com	5	sportinglife.com/racing/fast-results	skybet.com/horse-racing/kilbeggan/event/20826861	lqdfghq287401i5iialbj7loqd9	"[""sportinglife.com/racing/fast-results"",""sportinglife.com/racing/racecards"",""sportinglife.com/racing/racecards/2017-06-04/kilbeggan/racecard/430897/bloomfield-house-hotel-mares-hurdle""]"	"[1496582802000,1496583245000,1496583254000]"	"[""sportinglife.com/racing/fast-results""]"	17	6	4
