ga_learningset.site	ga_learningset.country	ga_learningset.pageviewmobile	ga_learningset.pageviewonline	ga_learningset.uniqmobile	ga_learningset.uniqonline	ga_learningset.visitsmobile	ga_learningset.visitsonline	ga_learningset.est_visits_mobile	ga_learningset.est_visits_desktop	ga_learningset.month	ga_learningset.year
dj-store.ru	643	75756	256742	21614	67179	25607	86015	188725.7466	92889.6714	6	17
djero.ru	643	52171	67794	8452	9569	9500	11701	11433.19763	8454.996079	4	17
djero.ru	643	48022	59442	7294	7079	8223	8667	9736.339856	17505.27677	5	17
djero.ru	643	60982	69200	12393	11375	13516	13391	14513.19057	22550.29915	6	17
dji.com	643	121474	253840	35243	51515	41610	67424	153461.139	65521.55489	4	17
dji.com	643	166912	328987	51210	62285	59579	84140	180150.244	34215.88605	5	17
dji.com	643	111693	246856	33306	50801	38812	66127	156724.8432	61534.82612	6	17
djmag.ru	643	167683	204326	81143	66694	88473	68926	37393.26153	15059.44931	4	17
djmag.ru	643	100635	343961	42075	121000	48943	124141	20257.05577	18324.08917	5	17
djmag.ru	643	114512	684650	47734	261312	54770	267193	24268.26703	21655.2693	6	17
djokonda.ru	643	21745	48806	3776	3424	4830	5025	5241.734473	2197.732505	5	17
djokonda.ru	643	10940	37239	1468	2801	1757	3764	3659.399739	8130.772867	6	17
djshop.by	643	6939	30317	2029	9450	2592	13078	28825.70135	43246.29514	4	17
djshop.by	643	5937	22745	1903	7423	2460	10130	23256.56434	1173.363243	5	17
djshop.by	643	6142	21687	2039	7189	2560	9572	23813.37316	18798.04227	6	17
dk-books.com	643	58	234	47	162	48	166	343.026692	1117.098338	4	17
dlink.com	643	308	3128	199	1681	207	1787	39152.65111	18547.81462	5	17
dlink.com	643	300	3134	200	1716	203	1822	41482.27199	16730.93368	6	17
dlink.com.br	643	31	133	17	82	17	92	582.5308217	220.9928729	4	17
dlisted.com	643	2572	6176	819	1612	1278	2799	3479.971009	0	4	17
dlisted.com	643	3252	5341	847	1609	1469	2590	4305.731067	8626.805427	5	17
dlisted.com	643	2570	4882	850	1595	1337	2602	4641.670486	1842.830777	6	17
dls.ua	643	178	405	59	90	63	112	141.6526133	3402.247696	4	17
dlux.biz	643	533	598	252	383	273	397	359.8081999	1141.818117	4	17
dm-isuzu.ru	643	6466	15395	2781	6219	3033	6842	5721.55592	7240.274918	5	17
dm-isuzu.ru	643	6063	13704	2633	4854	2852	5472	4393.553398	0	6	17
dm.by	643	4800	19224	2103	6393	2222	6648	3788.802039	12219.07794	4	17
dm.by	643	4495	8168	1848	4031	1954	4202	3492.947919	5854.182725	5	17
dm.by	643	3983	7694	1721	3442	1808	3613	2746.235431	15392.74138	6	17
dmgamingsystems.com	643	1866	8752	518	2997	1285	4859	1241.194899	2467.43209	4	17
dmgamingsystems.com	643	1945	9248	528	2945	1255	4538	927.6539738	10271.62902	5	17
dmgamingsystems.com	643	1407	8990	459	2840	877	4755	1391.074731	987.0998254	6	17
dmir.ru	643	2756353	3301688	687552	850413	797024	958409	1034296.726	929767.5126	4	17
dmir.ru	643	2558390	3034896	643571	805681	743534	902616	999784.5834	935927.7046	5	17
dmir.ru	643	2332416	2984754	606336	797531	698906	893662	983171.9767	745491.688	6	17
dmm.co.jp	643	9581	18431	6555	6999	6555	12228	100368.5148	32451.55363	5	17
dmm.co.jp	643	10692	14929	8655	6999	8655	11555	99639.41002	39409.55816	6	17
dmm.com	643	2367	43439	950	16657	1326	31798	103231.1761	48846.35003	4	17
dmm.com	643	4278	29847	2515	12054	2829	15498	129759.6466	46590.42608	5	17
dmm.com	643	4644	28074	2866	7449	2916	9741	120391.6769	31344.24859	6	17
dn39.ru	643	12371	17803	3599	4826	3963	5397	5354.905557	8868.475378	4	17
dn39.ru	643	12433	17934	3535	4591	3904	5164	5406.106063	11202.53217	5	17
dn39.ru	643	11165	17378	3494	4538	3873	5087	4163.417532	16523.75065	6	17
dnaindia.com	643	4281	10097	3220	8408	3299	8957	3927.862461	18445.82856	4	17
dnaindia.com	643	3592	14706	2542	8071	2874	8293	4617.600288	740.1462325	5	17
dnaindia.com	643	5058	11068	2433	9783	2624	10212	5446.584899	37583.92187	6	17
dnative.ru	643	36016	27500	23058	13721	26563	16386	39542.78107	30219.83862	5	17
dnative.ru	643	22744	30014	13534	15724	15762	18732	43766.16562	54396.56931	6	17
dnb.com	643	364	3932	212	2052	234	2227	5611.682912	0	5	17
dnb.com	643	416	3670	237	1792	256	2001	5942.317848	0	6	17
dnd.com.pk	643	219	158	141	144	150	148	87.78639165	9296.312365	6	17
dnepr.info	643	11699	15595	8477	11297	9149	11876	21364.76407	23835.79346	4	17
dnepr.info	643	12454	14925	8591	10920	9555	11476	19662.13899	18327.21869	5	17
dnepr.info	643	12346	11628	8113	8538	9078	8905	13200.33796	27290.62602	6	17
dnevnik.bg	643	4966	3938	1362	1219	1785	1568	1300.243448	4347.610384	4	17
dnevnik.bg	643	3910	10557	1803	1839	2423	2898	1704.649224	5150.382153	6	17
dnevniq.com	643	4913	4547	3597	3990	3743	4076	4479.889648	12744.31142	5	17
dnevniq.com	643	20354	15273	15504	13292	16449	13746	12382.7449	22648.92415	6	17
dni.ru	643	1.26E+07	9514658	5124115	2537682	6620087	3291091	3031272.389	7675031.144	6	17
dnk-diagnostika.ru	643	20654	29955	6753	9360	8051	10973	10925.68966	8902.521752	4	17
dnk-diagnostika.ru	643	18788	28122	6611	9158	7808	10553	9510.861912	14906.4464	5	17
dnk-diagnostika.ru	643	16032	22356	6097	7874	7043	8966	8318.113419	6532.25467	6	17
dnk.by	643	1298	2761	374	635	430	769	705.9404604	748.2880905	4	17
dnk.by	643	1209	2081	442	463	482	517	653.748199	3443.926147	5	17
dnk.by	643	1027	1507	373	371	395	402	452.0497339	969.3120486	6	17
dns-shop.ru	643	3.21E+07	6.34E+07	4530723	7770209	5822619	1.05E+07	1.67E+07	1.24E+07	4	17
dns.com.ua	643	28	1524	20	802	20	913	1057.357759	0	4	17
dns.com.ua	643	41	1266	19	736	19	813	893.8376383	0	5	17
dns.ninja	643	297	599	247	546	255	558	1379.975418	4609.746576	5	17
dns.pl	643	83	919	43	447	45	451	157.3895345	3159.283665	4	17
dns.pl	643	70	748	48	385	48	388	158.7843823	655.6902039	5	17
dnstree.com	643	3375	7409	2467	6082	2535	6177	6408.903057	8542.553012	5	17
dnstree.com	643	1467	3238	1098	2665	1127	2710	6938.165173	3347.678959	6	17
dnvgl.com	643	31	380	14	182	16	221	4512.79727	0	4	17
dnvgl.com	643	42	541	23	181	27	221	3359.885668	0	5	17
do3.ru	643	5746	3407	4668	2831	4940	2937	3321.266452	14662.91262	4	17
do3.ru	643	6153	3131	4962	2580	5249	2735	3555.602455	11590.44469	5	17
do3.ru	643	5192	2551	4257	2034	4475	2185	2533.892619	3606.371473	6	17
dobovo.com	643	11395	25393	2487	3226	3114	4424	6535.261137	10943.54951	4	17
dobovo.com	643	12424	19444	2907	3205	3640	4294	6138.153972	18177.30956	5	17
dobovo.com	643	12563	23219	3337	3696	4055	5184	6606.693784	13900.26847	6	17
dobriyortoped.ru	643	63775	83406	22497	23447	28082	30106	32313.1211	29662.54957	6	17
dobrodej.com.ua	643	813	1336	612	1036	635	1077	895.5294074	8126.996611	4	17
dobrodej.com.ua	643	1662	2060	1311	1639	1357	1692	2404.309131	12174.18014	5	17
dobrodej.com.ua	643	1360	1688	1086	1298	1126	1347	1236.540072	12176.99226	6	17
dobrohub.ru	643	21738	16016	13724	10228	15332	11179	11871.73666	5603.653553	5	17
dobrohub.ru	643	21837	14723	13333	9259	14916	10008	13398.48821	11008.7233	6	17
dobrota.ru	643	272367	413662	69356	81746	81952	98986	106314.4979	95644.04911	4	17
dobrota.ru	643	257100	379746	63948	76443	75801	92286	103501.6452	98929.43411	5	17
dobrota.ru	643	229860	352691	58917	71433	69415	86371	101213.3187	72420.21731	6	17
dobry.ru	643	57157	65848	43194	48334	45763	49979	21723.88078	159865.9342	4	17
dobry.ru	643	15743	15077	10147	8133	10766	8395	5274.377344	58308.55447	5	17
dobry.ru	643	11310	11345	7351	6416	7765	6591	4968.972179	48018.04687	6	17
doc.ua	643	18528	12997	14083	9589	14875	9916	9517.812768	31948.40561	4	17
doc.ua	643	21491	14811	16399	10718	17432	11087	11715.43457	40477.07981	5	17
doc.ua	643	21597	13055	16473	9366	17440	9784	10447.45471	42730.81573	6	17
docdoc.ru	643	522842	517568	204020	188816	242847	235597	245789.5999	266190.4565	4	17
docdoc.ru	643	494665	489586	196914	179776	232611	222906	244117.6524	295942.1379	5	17
docdoc.ru	643	502096	457441	208843	165954	246468	207071	226439.7303	312202.6389	6	17
dochkisinochki.ru	643	3.11E+07	1.58E+07	2440419	1273927	3209828	1679116	1857412.906	2960611.644	4	17
dochkisinochki.ru	643	4.09E+07	1.91E+07	2447630	1243630	3247608	1633657	1858088.925	3122128.034	5	17
dochkisinochki.ru	643	3.55E+07	1.70E+07	2299509	1104238	3026779	1451089	1728936.88	3146492.524	6	17
docke.ru	643	100927	283168	29695	66650	35100	80841	66436.50597	29857.38951	5	17
docke.ru	643	125729	322977	40801	81780	47502	98711	76751.5319	83115.62322	6	17
docklands.ru	643	20943	47288	5152	9775	5908	11061	8837.067275	8384.916728	4	17
docklands.ru	643	15510	38512	4361	8219	4849	9177	8010.280626	28518.77474	5	17
docklands.ru	643	13888	24192	3843	4732	4210	5507	5111.06953	9812.124177	6	17
docme.ru	643	149647	956929	103022	520692	107968	567416	688911.957	520915.5421	4	17
docme.ru	643	144628	966065	98680	537356	103955	585678	751368.8892	487822.3447	5	17
docme.ru	643	71039	577282	47914	336684	50582	368992	479507.3102	240517.974	6	17
docolor.hk	643	5853	3617	2582	1552	2715	1672	3114.314073	21644.63535	6	17
docplanner.com	643	12	180	10	140	10	140	408.0666866	6019.890165	6	17
docplanner.ru	643	212421	200846	115762	115541	126429	123378	106646.0104	115639.6172	4	17
docplanner.ru	643	199286	214216	111049	116911	120399	125206	101424.3931	95131.23471	5	17
docplanner.ru	643	175809	173855	98086	96805	106002	102680	89561.50323	89587.08772	6	17
docplus.ru	643	128817	64686	85522	23230	103976	31029	16414.45198	151689.4357	4	17
docplus.ru	643	110020	37777	74231	13485	85527	16803	15175.4282	128663.3484	5	17
docplus.ru	643	50407	30087	24486	9320	28568	11492	13251.5005	40579.44108	6	17
doctop.ru	643	2696	3239	2052	2799	2148	2871	2131.822086	6205.403433	4	17
doctop.ru	643	3073	3861	2324	3340	2468	3417	2863.379483	524.5641886	5	17
doctop.ru	643	2626	3779	2020	3263	2107	3381	2843.47775	16104.30615	6	17
doctor-anna.ru	643	21135	16490	3939	2886	4376	3117	2376.883795	6547.006626	4	17
doctor-anna.ru	643	18347	16241	3542	2637	3931	2882	2851.179008	2765.385089	5	17
doctor-anna.ru	643	16615	14736	3315	2088	3624	2307	2412.633639	4504.979854	6	17
doctor-cardiologist.ru	643	62183	62333	49921	51844	55242	55974	54703.63403	108262.8856	4	17
doctor-cardiologist.ru	643	60867	55201	49305	45957	54130	49646	53254.10029	101537.9111	5	17
doctor-cardiologist.ru	643	57827	46414	46894	39271	51461	41868	43849.14021	120498.7419	6	17
doctor-neurologist.ru	643	100398	80633	81198	67839	89718	72815	77628.86746	197064.554	4	17
doctor-neurologist.ru	643	109424	85265	88030	71803	97323	77272	87683.03786	224266.5424	5	17
doctor-neurologist.ru	643	105329	80989	85098	68513	93841	73186	81530.81134	179477.206	6	17
doctor-numb.ru	643	6666	4888	2715	1331	3095	1563	1652.048372	4315.875471	4	17
doctora-mne.ru	643	42391	49387	22093	23589	23720	24578	21958.05664	24436.41449	4	17
doctora-mne.ru	643	46521	53259	24090	26057	25922	27137	24289.53098	31341.10185	5	17
doctora-mne.ru	643	46100	50044	24935	25502	26697	26480	23725.10837	26724.59768	6	17
doctora.ua	643	486	800	317	625	324	651	440.1861516	0	5	17
doctora.ua	643	424	774	342	577	358	593	804.729075	0	6	17
doctoralia.com.br	643	881	706	85	680	123	680	65.06702051	174.9782894	5	17
doctoralia.es	643	315	816	146	778	151	816	102.2505776	0	5	17
doctoralia.es	643	340	961	164	629	164	666	116.7533545	0	6	17
doctorshealthpress.com	643	530	1511	480	1337	508	1365	814.8566287	5391.546272	6	17
doctorswithoutborders.org	643	525	1081	287	532	323	573	708.8057218	3628.895633	4	17
doctorswithoutborders.org	643	688	863	464	531	494	563	878.2584232	4837.98871	6	17
doctorulvostru.ro	643	1089	96	795	59	956	67	101.2265329	7397.563932	5	17
doctorulvostru.ro	643	2097	86	1022	57	1317	68	66.35459864	2783.106615	6	17
doctu.ru	643	100761	117652	62715	66704	67552	70741	59028.05785	69248.69404	5	17
doctu.ru	643	155911	175801	91230	97496	97814	103108	91724.14144	69713.61258	6	17
dodge.ru	643	8539	19077	3459	7481	3615	7957	10668.27112	13371.08992	4	17
dodge.ru	643	7710	15376	3063	6171	3237	6531	8019.253926	10548.56766	5	17
dodge.ru	643	5980	13750	2389	5459	2512	5762	7183.987335	253.5556858	6	17
dodmagazine.es	643	28	126	28	103	28	109	292.8926335	6742.758441	6	17
dodocool.com	643	813	987	180	256	205	292	936.4965468	4606.802488	5	17
dodocool.com	643	490	1145	125	230	140	250	813.7657894	416.0453378	6	17
doereport.com	643	62	190	39	157	47	165	446.9368216	8271.45889	6	17
dogeat.ru	643	213991	331707	52307	70095	65204	87912	89780.25269	65476.24371	4	17
dogeat.ru	643	302459	482339	60044	76600	74613	95782	92389.54403	72845.02182	5	17
dogeat.ru	643	1944276	3597889	80722	107203	101851	135189	133609.7154	122797.6784	6	17
dogipedia.ru	643	77584	61730	55296	45195	60038	47384	46907.95527	59656.04344	5	17
dogipedia.ru	643	86949	67232	60929	48565	66399	50922	52106.52986	60782.29719	6	17
dogok.ru	643	15839	18711	3536	4157	4087	4952	3379.517008	5943.642413	5	17
dogok.ru	643	11460	13468	2690	2981	3081	3590	2535.939806	5854.223436	6	17
dohod.ru	643	67052	202236	31156	78866	38917	104274	125446.5513	56517.06409	5	17
dohod.ru	643	64108	188362	30503	74693	37799	96846	126292.9602	55932.06833	6	17
dohvinci.ru	643	6625	62708	1958	5026	2087	6644	4149.636947	65696.81102	5	17
dohvinci.ru	643	15916	51118	2377	3935	2663	5268	3689.435867	25626.13132	6	17
doisongphapluat.com	643	8489	6146	4940	1812	5995	2079	693.3597363	6860.868777	5	17
doisongphapluat.com	643	3963	5418	2306	1358	2812	1493	660.5897692	3404.77758	6	17
doityourselfrv.com	643	0	0	153	336	174	387	618.2467834	10352.88632	6	17
dojki.su	643	44736	64839	18430	21375	19158	21893	19907.18273	47165.63595	4	17
dojki.su	643	33289	40222	13417	14359	13979	14651	14093.89204	28691.99773	5	17
dojki.su	643	23359	30761	11169	10810	11500	11007	11634.17258	38481.32224	6	17
dojki24.com	643	838466	639149	210539	135454	225393	143339	137021.007	252103.9224	4	17
dojki24.com	643	1250917	642112	325167	154205	346277	161462	155115.1327	382875.5769	5	17
dojki24.com	643	1298559	526094	332539	134833	355650	140893	140287.2466	369432.9469	6	17
dojo.com	643	1694	48810	1121	18836	1194	21733	20337.6354	16410.61132	5	17
dojo.com	643	793	36505	381	14467	424	16660	13259.99939	7253.644298	6	17
dokladiki.ru	643	16463	47459	11217	33236	12343	35328	33595.33576	48612.37543	4	17
doktor.ru	643	149669	78527	101002	53957	104971	55237	53703.36921	164979.5378	5	17
doktor.ru	643	134130	73506	90272	51809	93639	53000	46359.60694	139434.9087	6	17
doktormom.ru	643	86387	34304	44056	16296	50212	18541	15932.79083	113933.1988	4	17
doktormom.ru	643	65637	21590	35850	11892	39394	12916	12805.14914	119380.0406	5	17
doktormom.ru	643	52459	15976	31492	9203	34146	9846	10827.79991	137325.5751	6	17
doktornarabote.ru	643	920193	760352	306981	200730	425935	328413	305516.5444	305156.6963	4	17
doktornarabote.ru	643	868993	704287	293768	185098	402147	303761	293300.5941	286592.2314	5	17
doktornarabote.ru	643	869577	687511	297716	181224	408827	303338	303027.0519	271809.5904	6	17
doktorplus.net	643	102156	78644	22779	15378	27449	18014	17371.08908	43254.3183	5	17
doktorplus.net	643	101687	73538	22934	14787	27533	17188	16242.4568	27973.807	6	17
doktorsitesi.com	643	2727	2040	1189	631	1268	654	183.8711633	27544.02626	4	17
doktorsitesi.com	643	4290	1092	1449	601	1563	610	144.004679	6740.724972	5	17
doktorsitesi.com	643	3111	1042	1086	823	1155	823	146.7060319	2206.817472	6	17
doktortakvimi.com	643	922	1024	391	630	408	630	64.71284562	5124.566323	4	17
doktortakvimi.com	643	929	1521	306	636	306	636	49.54086355	2694.346251	5	17
doktortakvimi.com	643	880	578	323	561	340	561	33.53064929	878.8896537	6	17
doktortv.com	643	90	94	55	48	55	49	93.46977424	1957.050683	4	17
dokuhni.ua	643	480	2053	163	960	173	981	331.3103918	1215.164589	5	17
dolby.com	643	20908	24843	6889	6154	7543	7163	19157.46144	18560.9053	4	17
dolby.com	643	20781	22546	7328	5874	8080	6906	16970.47198	39809.45453	5	17
dolby.com	643	22578	22605	7835	5662	8633	6982	16664.93674	23045.78284	6	17
dolce-gusto.ru	643	179347	213594	36485	45731	43550	52942	51561.02767	58998.89381	4	17
dolce-gusto.ru	643	177588	239103	34658	57784	41688	65766	48931.3346	45271.26078	5	17
dolce-gusto.ru	643	148765	179789	30583	35287	37048	42545	48526.17524	39686.48513	6	17
dolce-sport.ro	643	325	210	96	58	116	68	64.88476571	0	4	17
dolgojit.net	643	346406	439908	287288	371237	305758	385749	452468.3477	506603.1777	5	17
dolgojit.net	643	222143	311411	173759	258950	182134	268593	296192.4122	358230.8782	6	17
doliva.ru	643	12127	11847	2303	2041	2598	2365	3102.271556	9699.093157	4	17
doliva.ru	643	10791	9919	2116	1796	2382	2043	3257.715196	8034.675383	5	17
doliva.ru	643	7846	8792	1555	1573	1709	1799	2140.350275	7487.232166	6	17
dolk.jp	643	80	272	42	81	44	96	1097.436683	4305.703178	4	17
dollar.com	643	4199	10882	658	1960	769	2360	2416.708876	4817.038657	5	17
dollar.com	643	4932	11216	751	1987	885	2371	2673.434076	706.9797593	6	17
doloygribok.ru	643	6963	6093	5163	4754	5500	4966	4937.258555	16699.48249	4	17
doloygribok.ru	643	12829	8327	9647	6361	10261	6577	6371.554274	44307.44362	5	17
doloygribok.ru	643	30504	13162	22413	9796	24086	10250	14237.68428	45183.63202	6	17
dolphin.ru	643	25422	13267	11691	5710	13095	6329	7289.258865	29041.31867	4	17
dolphin.ru	643	19208	8509	9161	3718	9995	4034	6424.630214	18629.01818	5	17
dolphin.ru	643	15000	6753	7405	3140	8073	3346	5751.949131	17508.07191	6	17
dom-1147.ru	643	59012	64301	23848	14325	27743	15983	7519.163718	47844.23325	4	17
dom-1147.ru	643	66873	53992	28891	12982	38031	14371	8283.388104	75390.42593	5	17
dom-1147.ru	643	64064	61810	29148	15729	38213	17380	8441.636883	123449.5301	6	17
dom-exclusive.ru	643	16806	33947	3352	5528	3854	6777	7030.001732	0	4	17
dom-expert.by	643	2432	3853	1862	2605	1978	2828	4388.629058	5351.643353	4	17
dom-expert.by	643	2031	3610	1513	2411	1626	2596	5115.536982	3416.193915	5	17
dom-expert.by	643	2080	3582	1617	2495	1715	2632	3498.800645	24239.50494	6	17
dom-karamel.ru	643	3848	4685	2891	4054	3135	4348	2563.777802	3882.35545	4	17
dom-karamel.ru	643	2460	6627	2076	5408	2178	5807	3905.589834	7777.930913	5	17
dom-karamel.ru	643	1798	9349	1411	7250	1524	7654	2184.382464	0	6	17
dom-knigi.ru	643	26243	72474	4278	10908	4648	11636	15534.0159	13713.37001	4	17
dom-knigi.ru	643	27450	73185	4219	10959	4541	11741	16764.34321	12210.20914	5	17
dom-knigi.ru	643	28184	70894	3959	9087	4377	9962	14185.04459	3197.4252	6	17
dom-krolika.ru	643	2782	2980	1909	2252	2027	2294	4131.336112	10329.24963	4	17
dom-krolika.ru	643	2123	2000	1548	1528	1619	1566	3532.681452	12026.8926	5	17
dom-krolika.ru	643	1436	1191	1014	859	1065	876	1754.280109	7553.083096	6	17
dom-mir.com	643	45238	155028	5186	14536	5782	16209	12720.70402	17734.18306	5	17
dom-mir.com	643	72184	324355	7559	30198	8542	33899	20067.91219	27209.07434	6	17
dom-pokupok.ru	643	115169	112355	27329	21122	30019	23936	20391.55624	33976.32088	5	17
dom-pokupok.ru	643	74258	67045	16516	11051	18172	12963	10381.78166	20345.29855	6	17
dom-renaissance.ru	643	17405	86848	3118	10333	3777	13047	7674.399752	10707.75261	4	17
dom-renaissance.ru	643	19018	75754	2888	8009	3412	10189	7232.004361	9628.393472	5	17
dom-renaissance.ru	643	17400	70152	2861	8257	3290	10254	7219.691487	6768.320633	6	17
dom-shop.org	643	7675	7025	1882	1490	2051	1636	1725.961156	242.2938029	4	17
dom-shop.org	643	5257	4640	1428	1194	1544	1282	1339.740824	16416.05533	6	17
dom-volga.ru	643	7984	10784	4276	2687	4745	3004	1763.597414	7603.854559	4	17
dom-volga.ru	643	13446	11547	7642	3460	8114	3759	2107.296749	24915.21045	5	17
dom-volga.ru	643	5394	11070	2655	3843	2854	4206	1781.71558	15639.82193	6	17
dom.by	643	23060	28340	7492	10338	8018	10899	11710.80522	19341.69832	5	17
dom.by	643	35959	39776	7586	10509	8085	11087	15069.4701	20321.87138	6	17
dom.co.il	643	9270	6670	6856	4344	7402	4709	8334.744137	2468.792065	4	17
dom.co.il	643	8115	5255	6000	3442	6465	3696	7700.360245	0	5	17
dom64.ru	643	15850	22265	1976	2306	2352	2860	2183.033578	22301.86936	4	17
dom64.ru	643	15140	22262	1944	2439	2278	3020	1989.035218	6316.431539	5	17
dom64.ru	643	17880	21754	1962	2202	2315	2805	2017.47294	28206.05122	6	17
domadengi.ru	643	701874	455396	252008	138798	358542	212149	169443.2641	278243.9869	4	17
domain.com.au	643	2963	12397	882	3110	1067	3519	3863.598116	0	4	17
domain.com.au	643	3028	7888	1467	3135	1609	3299	4120.762439	0	5	17
domaleto.ru	643	794	52615	230	17004	240	19535	23757.53861	16899.00872	5	17
domaleto.ru	643	714	46148	213	14000	233	16071	17181.76097	7248.162686	6	17
domalina.ru	643	91740	274820	9695	21730	10810	24405	19049.87822	9150.821584	4	17
domalina.ru	643	79263	262000	8408	20626	9666	23963	17652.66656	54262.51489	5	17
domalina.ru	643	105592	289122	11806	23889	13599	27810	19782.38302	56084.23822	6	17
domashnie-maski.ru	643	12190	3026	9908	2395	10727	2616	2292.000402	59193.48612	4	17
domashnie-maski.ru	643	10656	2599	8708	2051	9375	2206	2073.886764	39515.74741	5	17
domashnie-maski.ru	643	8307	2461	6807	1683	7303	1851	2430.294443	57976.66298	6	17
domashniy.com.ua	643	312	926	100	298	106	302	165.4119924	3947.569193	4	17
domashniy.ru	643	2199795	2019697	827342	676163	1071452	896516	849453.3867	1394958.562	4	17
domashniy.ru	643	1455919	1770561	619996	585638	742322	773264	802749.815	1237543.373	5	17
domashniy.ru	643	985723	1096741	502090	407985	566352	498361	585823.0261	1244240.545	6	17
domashny-rayon.ru	643	48906	284283	24117	57769	28680	65229	30016.03377	38641.29592	4	17
domashny-rayon.ru	643	39149	222821	22958	40028	27914	47605	24273.25822	33230.375	5	17
domashny-rayon.ru	643	38666	230873	22804	42534	27847	50088	28560.57727	28686.81947	6	17
domastoria.ru	643	7209	8810	4581	4304	5431	5551	4509.50748	35838.92152	5	17
domastoria.ru	643	6790	9190	4511	5343	5164	6270	4488.351308	39345.11369	6	17
domatv.by	643	2517	7098	365	770	379	836	888.6664836	0	5	17
domatv.by	643	2700	5794	313	684	331	747	1179.289247	6388.903969	6	17
domavkusnee.ru	643	137213	131809	21613	15931	24930	19300	25325.54135	35786.18581	4	17
domavkusnee.ru	643	109998	100214	16779	12244	19372	14812	20710.5374	24966.38075	5	17
domavkusnee.ru	643	74453	73205	13666	10515	15497	12870	16968.45724	11226.26681	6	17
domaza.ru	643	10619	19984	4332	6764	4585	7342	7692.264856	9898.119832	4	17
domaza.ru	643	10283	21214	5145	7510	5417	8204	9862.490406	5541.690891	5	17
domaza.ru	643	9443	17032	4548	6746	4782	7275	8502.172408	11104.2739	6	17
dombayinfo.ru	643	4997	6786	2715	3472	3089	4000	3776.159063	11485.81496	4	17
dombayinfo.ru	643	4715	6349	2764	3195	3002	3607	4083.002936	6622.223605	5	17
dombayinfo.ru	643	4870	6826	2913	3369	3187	3732	5351.606742	8138.966004	6	17
dombusin.com	643	765	1177	220	407	238	436	293.7263043	253.5854424	4	17
domclick.ru	643	479321	1295971	221497	575430	331337	886390	919042.787	424916.1021	4	17
domclick.ru	643	595969	1459180	259770	544574	393638	921766	899375.1628	417752.4257	5	17
domclick.ru	643	814204	1646668	370254	649777	605516	1238452	1041903.918	568792.7794	6	17
dome.ru	643	23214	10718	14335	4157	15815	5043	4692.928561	16263.93583	4	17
dome.ru	643	17313	8442	9886	2541	10970	3223	5076.321022	17850.23059	5	17
dome.ru	643	21036	9489	12059	2896	13287	3691	6473.239051	19208.40529	6	17
domicad.com.ua	643	1404	4351	716	2020	768	2182	2206.912498	4326.971858	4	17
domicad.com.ua	643	1414	3285	754	1497	805	1623	1649.661891	8376.834782	5	17
domicad.com.ua	643	1228	2020	464	893	502	1067	1242.017395	8099.692881	6	17
domigr.com.ua	643	1118	2213	639	1208	712	1368	2989.566587	0	4	17
domigr.com.ua	643	1023	2289	639	1271	690	1436	3085.175617	6687.801624	5	17
domik.kg	643	18915	5283	1835	615	2041	652	1134.552603	7231.019141	4	17
domik.kg	643	20800	6486	1933	712	2186	784	835.5078757	20808.08707	5	17
domik.kg	643	20337	6637	1934	664	2178	720	836.8155412	26642.04991	6	17
domingo.by	643	520	1077	340	577	360	602	571.5355816	4860.600124	6	17
domino.com	643	2358	2976	1065	1342	1129	1457	1930.27003	4415.655589	4	17
dominomebel.ru	643	24442	38034	4132	5609	4827	6660	5426.810681	4359.670797	4	17
dominomebel.ru	643	24403	42523	4407	6324	5120	7430	6993.512013	5280.19892	5	17
dominomebel.ru	643	20962	40803	3772	5844	4383	6952	6586.800749	15600.06774	6	17
dominos.by	643	1097	1981	272	230	281	245	337.2746876	5306.688427	5	17
dominos.ua	643	719	1486	336	375	352	393	680.5139329	3306.170079	4	17
dominos.ua	643	1074	1988	445	552	473	580	1045.924207	1925.396358	5	17
dominos.ua	643	1707	2646	514	594	551	635	878.6910972	3651.572869	6	17
dominospizza.ru	643	247313	2056926	31339	185355	36631	231108	297402.1589	223184.4534	5	17
dominospizza.ru	643	212414	2126162	26819	181735	31174	232282	312444.4054	237649.8089	6	17
domltd.ru	643	4349	9777	2238	5302	2364	5491	4713.681477	0	5	17
domltd.ru	643	3363	7936	1738	4278	1856	4469	3493.717184	0	6	17
dommalera.ru	643	14932	83194	4579	12418	5121	13807	14998.52254	13431.25273	5	17
dommalera.ru	643	15606	75010	4624	11711	5240	13130	14385.70382	9117.062123	6	17
dommino.ua	643	1068	1266	606	674	638	692	662.7607373	1834.207076	4	17
dommino.ua	643	968	1105	629	646	651	665	1065.291236	2337.31617	5	17
domnaleninskom154.ru	643	8892	14816	2994	2355	3408	2789	1848.258953	10370.80448	4	17
domnaleninskom154.ru	643	16757	14613	6544	3756	7078	4051	2440.348676	13269.91437	5	17
domnaserpuhovskoy.ru	643	20607	17744	7805	3812	8543	4265	3264.712478	33234.52066	4	17
domnaserpuhovskoy.ru	643	27285	21314	11146	4804	13442	5285	3070.766312	19284.90005	5	17
domnaserpuhovskoy.ru	643	19440	16995	8023	3920	9946	4283	3221.698386	5246.487952	6	17
domnaskale.org	643	5938	2918	3489	1531	3806	1629	2106.638143	12075.86118	5	17
domnaskale.org	643	5278	2289	3166	1355	3404	1464	2386.080075	1098.371019	6	17
domnausievicha.ru	643	40734	21298	20188	6807	22818	7779	4829.829562	47184.24693	4	17
