monthlysourcecountrydis.site	monthlysourcecountrydis.country	monthlysourcecountrydis.source	monthlysourcecountrydis.visits	monthlysourcecountrydis.monthly_uniques	monthlysourcecountrydis.sum_dau	monthlysourcecountrydis.year	monthlysourcecountrydis.month
en.swissquote.com	826	1577	1	1	1	17	2
en.swissquote.com	826	1739	1	1	1	17	2
es.swissquote.com	756	1560	1	1	1	17	2
cs.swissquote.com	250	1560	1	1	1	17	3
en.swissquote.com	682	1822	5	1	4	17	3
apply.swissquote.com	643	1586	1	1	1	17	3
de.swissquote.com	276	13017	1	1	1	17	3
en.swissquote.com	688	1560	1	1	1	17	3
en.swissquote.com	380	1240	1	1	1	17	3
en.swissquote.com	826	1560	1	1	1	17	4
en.swissquote.com	760	1240	2	1	1	17	4
files.swissquote.com	380	1240	2	2	2	17	4
fr.swissquote.com	756	123017	1	1	1	17	4
fr.swissquote.com	756	1577	5	1	4	17	4
fr.swissquote.com	756	1739	2	1	2	17	4
en.swissquote.com	70	1560	1	1	1	17	4
en.swissquote.com	784	1940	1	1	1	17	4
en.swissquote.com	400	1240	1	1	1	17	4
en.swissquote.com	826	1752	1	1	1	17	4
ar.swissquote.com	682	1576	3	2	2	17	1
ru.swissquote.com	643	1243	2	2	2	17	1
en.swissquote.com	608	1587	1	1	1	17	1
fr.swissquote.com	756	1847	1	1	1	17	1
files.swissquote.com	458	1586	1	1	1	17	1
de.swissquote.com	356	1587	2	1	2	17	1
de.swissquote.com	756	1587	12	9	11	17	1
ru.swissquote.com	804	1240	3	3	3	17	1
de.swissquote.com	276	1576	1	1	1	17	1
en.swissquote.com	250	1240	1	1	1	17	1
en.swissquote.com	528	1550	1	1	1	17	1
en.swissquote.com	764	1576	1	1	1	17	1
it.swissquote.com	380	1240	7	3	7	17	1
forms.swissquote.com	380	1240	1	1	1	17	2
static.swissquote.com	756	1560	1	1	1	17	2
livechat2.swissquote.com	380	13017	2	1	1	17	3
ru.swissquote.com	643	1241	1	1	1	17	3
files.swissquote.com	724	1578	4	1	4	17	3
it.swissquote.com	380	1576	2	2	2	17	3
en.swissquote.com	704	1240	1	1	1	17	3
en.swissquote.com	300	1240	1	1	1	17	4
apply.swissquote.com	643	1587	2	1	2	17	4
advancedtrader.swissquote.com	356	1576	1	1	1	17	4
ar.swissquote.com	682	1560	1	1	1	17	4
de.swissquote.com	643	1244	1	1	1	17	4
de.swissquote.com	764	1940	2	1	2	17	4
ru.swissquote.com	112	1586	1	1	1	17	4
de.swissquote.com	246	1560	1	1	1	17	1
de.swissquote.com	276	1940	1	1	1	17	1
en.swissquote.com	643	1244	7	3	6	17	1
en.swissquote.com	764	1940	1	1	1	17	1
es.swissquote.com	756	12	1	1	1	17	1
en.swissquote.com	380	1240	2	2	2	17	1
files.swissquote.com	8404	13017	2	1	1	17	1
cn.swissquote.com	756	12	2	1	1	17	2
demo-wt.swissquote.com	484	1822	1	1	1	17	2
demo.swissquote.com	756	1240	1	1	1	17	2
files.swissquote.com	643	1841	4	2	4	17	2
ru.swissquote.com	643	13017	4	3	3	17	2
ru.swissquote.com	380	13017	32	1	21	17	3
en.swissquote.com	250	1940	1	1	1	17	3
en.swissquote.com	372	1586	2	1	2	17	3
it.swissquote.com	380	1940	7	3	7	17	3
ar.swissquote.com	32	123017	1	1	1	17	3
fr.swissquote.com	250	1560	1	1	1	17	4
ar.swissquote.com	682	1240	6	4	6	17	1
de.swissquote.com	276	1752	1	1	1	17	1
de.swissquote.com	756	1577	2	2	2	17	1
en.swissquote.com	392	1661	1	1	1	17	1
en.swissquote.com	818	1560	1	1	1	17	1
demo-wt.swissquote.com	484	1822	3	1	3	17	1
demo.swissquote.com	756	1240	2	1	1	17	1
files.swissquote.com	643	1841	1	1	1	17	1
ru.swissquote.com	643	13017	2	2	2	17	1
en.swissquote.com	84031	13017	8	1	5	17	1
en.swissquote.com	804	1587	4	3	4	17	2
en.swissquote.com	826	1240	1	1	1	17	2
it.swissquote.com	756	1240	2	1	2	17	2
ru.swissquote.com	643	1814	31	24	29	17	2
files.swissquote.com	804	1240	1	1	1	17	2
de.swissquote.com	756	1578	1	1	1	17	2
en.swissquote.com	458	1576	2	1	2	17	3
