ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.source	ga_analysis.weight	ga_analysis.year	ga_analysis.month	ga_analysis.panel_mobile_raw_visits	ga_analysis.panel_mobile_est_visits	ga_analysis.panel_desktop_raw_visits	ga_analysis.panel_desktop_est_visits
201701	aktivtraening.dk	208	490899.0	201228.0	322850.0	92207.0	349817.0	102959.0	ga	0.3	17	1	1.0	43520.50462362043	391.6000000000001	46405.5395053688
201703	askubuntu.com	208	9193.0	124753.0	4834.0	58888.0	6065.0	75103.0	qc	0.5	17	3	1.0	193933.87732404578	837.090476190476	115155.98299081168
201703	beingtricky.com	208	22.0	12.0	15.0	9.0	15.0	9.0	ga	0.3	17	3	0.0	0.0	1.0	144.43530120781773
201702	break.com	208	23128.0	95611.0	11776.0	19893.0	14836.0	26811.0	qc	0.5	17	2	6.0	96828.60619810726	428.7952380952381	53981.9987281076
201702	danskfilmskat.dk	208	1104127.0	406742.0	128560.0	48751.0	178069.0	75035.0	ga	0.3	17	2	2.0	101458.0885194903	260.76666666666665	41195.09369810701
201705	elgiganten.dk	208	6390332.0	6526695.0	1601063.0	1083861.0	2035562.0	1373937.0	ga	0.3	17	5	109.0	2413869.853183134	8019.341991341989	1220356.2886909177
201704	finsfeed.com	208	73152.0	37958.0	15346.0	10018.0	16069.0	10539.0	ga	0.3	17	4	1.0	28964.93260962677	19.0	3388.8943007340213
201703	goeuro.com	208	42082.0	69630.0	9195.0	16209.0	11056.0	21348.0	ga	0.3	17	3	7.0	191111.89330886654	143.17142857142855	22642.839327531394
201705	greatbritishchefs.com	208	4366.0	3348.0	1617.0	886.0	1890.0	955.0	ga	0.3	17	5	0.0	0.0	8.0	1174.1954990727218
201702	lookbook.nu	208	1609.0	11845.0	419.0	2742.0	536.0	4017.0	qc	0.5	17	2	0.0	29922.438341992114	18.6	3014.435135816446
201704	made-in-china.com	208	21160.0	46358.0	5232.0	11440.0	5886.0	12408.0	ga	0.3	17	4	0.0	0.0	61.300000000000004	10455.193204781983
201701	newark.com	208	309.0	5025.0	198.0	1749.0	208.0	1840.0	ga	0.3	17	1	0.0	0.0	10.0	1130.8534927208345
201701	pixel.tv	208	17591.0	29670.0	10457.0	11015.0	11887.0	13616.0	ga	0.3	17	1	1.0	31584.07158780452	205.2142857142857	23194.76564017797
201701	uppskattat.se	208	23145.0	6377.0	8882.0	2653.0	9879.0	2886.0	ga	0.3	17	1	0.0	0.0	11.0	1301.5394654683616
201703	zameen.com	208	11633.0	11711.0	1220.0	1089.0	1883.0	1417.0	ga	0.3	17	3	0.0	0.0	5.0	835.9119952197847
