ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.year	ga_analysis.month	ga_analysis.panel_raw_visits	ga_analysis.panel_est_visits	ga_analysis.panel_page_views
201702	thepornsurvey.com	356	317700.0	1946502.0	281934.0	1791484.0	285649.0	1894666.0	17	2	274.0	269065.1471532337	290458.48744631273
201611	thequint.com	356	4352037.0	1316165.0	2829334.0	668825.0	3116443.0	729664.0	16	11	4137.0	904137.0581192337	1299029.748418109
201702	thestorymedia.com	356	1491165.0	179666.0	631906.0	42991.0	666975.0	46572.0	17	2	395.0	32504.25061975736	75471.12497546681
201610	theverge.com	356	1375746.0	898963.0	955472.0	520347.0	1063983.0	591602.0	16	10	2045.0	1035291.7690378631	1302692.0508504838
201612	toprankers.com	356	906205.0	5194441.0	62.0	31.0	124363.0	212477.0	16	12	348.0	65451.92218811393	154029.58704098637
201606	txxx.com	356	904521.0	1182167.0	291822.0	293571.0	356215.0	417385.0	16	6	5958.0	1346464.8745993085	1974425.5242457474
201606	vajiramandravi.com	356	346593.0	396521.0	82248.0	87857.0	113785.0	113096.0	16	6	741.0	110673.1716005176	254346.4991581562
201702	vwhatsappstatus.com	356	191457.0	47175.0	137320.0	31859.0	144829.0	33829.0	17	2	1011.0	90628.91255054271	110621.67402501522
201607	wetransfer.com	356	354561.0	3485657.0	170038.0	1747997.0	209015.0	2357094.0	16	7	836.0	787877.8570892212	1198645.7962932675
201602	xolo.in	356	0.0	0.0	89266.0	111974.0	102412.0	131599.0	16	2	578.0	116548.94029558118	233512.85180682925
201608	yourtango.com	356	1091675.0	166323.0	802544.0	106581.0	846428.0	111975.0	16	8	6371.0	571371.5707531472	703259.7339558755
201606	zestvip.com	356	464522.0	58492.0	96992.0	12963.0	106960.0	14275.0	16	6	178.0	28385.977161694962	126052.05654951265
201608	zimbio.com	356	1113118.0	597950.0	134165.0	73486.0	144325.0	78296.0	16	8	127.0	38068.35459589029	83057.63375636037
201703	zoutons.com	356	845350.0	381169.0	201806.0	113128.0	230022.0	119725.0	17	3	640.0	106945.93163649672	318963.4295974133
201607	zoutons.com	356	515283.0	505786.0	181836.0	212807.0	201073.0	223865.0	16	7	1126.0	226002.297820104	641724.8538439337
201612	abs-cbn.com	356	493958.0	193554.0	110017.0	31150.0	128847.0	35487.0	16	12	1.0	103.93907753006211	103.93907753006211
201611	aegonlife.com	356	174571.0	368272.0	99187.0	135008.0	120307.0	162921.0	16	11	521.0	88436.15874522537	129264.76549882189
201701	alajadi.com	356	395942.0	56838.0	267844.0	33293.0	284293.0	35565.0	17	1	5.0	1547.3804582658672	1827.1476414106828
201702	aliexpress.com	356	1.7503795E7	1.3287221E7	6077130.0	2124743.0	6944178.0	2636655.0	17	2	4122.0	946258.3638616975	1594150.4387564405
201606	aliexpress.com	356	8424990.0	1.5326453E7	2480617.0	1989704.0	2789230.0	2573071.0	16	6	4861.0	1186366.283413354	2127498.603587503
201611	allmusic.com	356	711197.0	177965.0	398459.0	67974.0	422894.0	75069.0	16	11	760.0	128518.92519849638	189782.68800116883
201612	andhravilas.net	356	1173738.0	762274.0	192345.0	129517.0	299919.0	177110.0	16	12	293.0	78379.27821456724	229278.7193705148
201603	answers.com	356	0.0	0.0	1970849.0	1157064.0	2154397.0	1260920.0	16	3	19006.0	2046457.3970560362	3307103.748145279
201701	ap7am.com	356	2837969.0	4103643.0	299389.0	334598.0	601572.0	663673.0	17	1	178.0	67157.19130901968	80899.45570914255
201605	ap7am.com	356	1610564.0	4343292.0	199843.0	357978.0	341881.0	693892.0	16	5	413.0	153197.59338603247	399348.79933715163
201612	apnifeed.com	356	732899.0	26557.0	276385.0	15086.0	306536.0	16278.0	16	12	313.0	53450.6183342949	70082.60873301546
201703	ask.fm	356	4041821.0	1207630.0	306020.0	64872.0	492439.0	99178.0	17	3	1778.0	161430.2562074683	815003.3877930457
201607	ask.fm	356	7987187.0	2337139.0	488778.0	122048.0	926545.0	187479.0	16	7	10976.0	861521.6930107883	5688739.812638317
201612	astrologyanswers.com	356	345563.0	125482.0	122030.0	48394.0	148255.0	55165.0	16	12	397.0	55003.79185169841	125016.09034365999
201611	awm.com	356	369504.0	48921.0	300754.0	41975.0	325651.0	44724.0	16	11	353.0	54833.117245258414	61539.90998939077
201604	badtameezdil.net	356	0.0	0.0	879740.0	1077982.0	1257862.0	1545894.0	16	4	12084.0	1760583.2969645702	3755786.7725861375
201612	banglachotikahini.com	356	4462046.0	1150639.0	368681.0	95688.0	481417.0	120557.0	16	12	645.0	95703.34561105036	646721.6798971008
201606	bdjobs.com	356	682089.0	39170.0	228278.0	21341.0	289167.0	26021.0	16	6	1.0	515.7913605391054	515.7913605391054
201601	bijlibachao.com	356	0.0	0.0	103736.0	130701.0	121011.0	146501.0	16	1	502.0	98277.90199382062	128526.74960985106
201702	bloombergquint.com	356	2268891.0	5007315.0	693711.0	767447.0	750765.0	841472.0	17	2	1727.0	331578.7402650413	428216.2021202611
201702	bravoteens.com	356	1506182.0	261393.0	527465.0	106272.0	561436.0	111478.0	17	2	716.0	90259.49382765454	118845.48097293556
201611	businessinsider.com	356	4166623.0	1758366.0	1260953.0	404576.0	1429566.0	463272.0	16	11	3557.0	910911.1369571438	2430392.2754850416
201611	bustle.com	356	1096911.0	565917.0	774190.0	314078.0	815339.0	324221.0	16	11	4769.0	613189.3357026208	700634.4548518177
201610	chess.com	356	716608.0	2050681.0	139765.0	433719.0	175049.0	579636.0	16	10	843.0	310494.05174259015	1786579.1878602202
201609	cinejosh.com	356	3946484.0	3204345.0	530270.0	364736.0	882019.0	554246.0	16	9	1533.0	412387.78783237276	1523326.932299402
201607	cosmopolitan.co.uk	356	182499.0	48839.0	127679.0	33741.0	135018.0	34887.0	16	7	732.0	86206.99835452797	176191.59616934528
201607	desibees.com	356	7956665.0	3880205.0	1390284.0	447211.0	1694958.0	533181.0	16	7	3237.0	459435.3442879973	1993290.9422875373
201611	dramabeans.com	356	327126.0	138089.0	79125.0	34962.0	135266.0	55829.0	16	11	1099.0	151071.0506481098	372842.08360122814
201603	drivespark.com	356	0.0	0.0	374538.0	559513.0	420227.0	667658.0	16	3	843.0	172759.50494109362	686078.8268041854
201602	ebaumsworld.com	356	562871.0	124063.0	269521.0	69649.0	287067.0	73262.0	16	2	1031.0	157521.2940055905	192907.52035912106
201701	familyshare.com	356	191406.0	53187.0	154977.0	37843.0	164475.0	39936.0	17	1	475.0	49607.31749364486	81174.0732712288
201605	familyshare.com	356	890369.0	135631.0	663039.0	81200.0	732048.0	89284.0	16	5	3387.0	299122.6924180589	613377.6456562796
201608	filtercopy.com	356	1633311.0	286672.0	1317364.0	180220.0	1400149.0	191891.0	16	8	3664.0	376480.5545911751	449872.52270982537
