site	country	platform	rawvisits	estimatedvisits	year	month
business.panasonic.com	70	desktop	1	49.75609007	16	3
business.panasonic.com	710	desktop	4	953.4076822	16	3
business.panasonic.com	807	desktop	2	209.7810262	16	3
business.panasonic.com	999	desktop	2216.642857	238339.1779	16	3
business.panasonic.com	84039	desktop	33.2	4064.841674	16	3
business.panasonic.com	8	desktop	2	55.98672526	16	3
business.panasonic.com	40	desktop	4.6	261.9174477	16	3
business.panasonic.com	104	desktop	2	95.11442307	16	3
business.panasonic.com	328	desktop	1.6	943.1341218	16	3
business.panasonic.com	360	desktop	26.2	2749.893191	16	3
business.panasonic.com	392	desktop	74.7	6917.723232	16	3
business.panasonic.com	616	desktop	36.8	4189.560354	16	3
business.panasonic.com	840	desktop	1005.785714	120973.5163	16	3
business.panasonic.com	84040	desktop	9	2111.731402	16	3
business.panasonic.com	233	desktop	3	175.8015002	16	3
business.panasonic.com	84041	desktop	18.2	1587.992056	16	3
business.panasonic.com	170	desktop	2	219.6279411	16	3
business.panasonic.com	458	desktop	18.8	2216.7205	16	3
business.panasonic.com	554	desktop	9.6	1146.56556	16	3
business.panasonic.com	586	desktop	10.6	1201.348528	16	3
business.panasonic.com	682	desktop	12.6	1592.249626	16	3
business.panasonic.com	84010	desktop	7	830.3136064	16	3
business.panasonic.com	84042	desktop	43.2	5480.661161	16	3
business.panasonic.com	203	desktop	4	394.43534	16	3
business.panasonic.com	84011	desktop	5	261.6358738	16	3
business.panasonic.com	12	desktop	5	336.2373703	16	3
business.panasonic.com	76	desktop	34.2	2854.559181	16	3
business.panasonic.com	268	desktop	3	391.6922966	16	3
business.panasonic.com	300	desktop	8	648.3302594	16	3
business.panasonic.com	364	desktop	4	1151.548236	16	3
business.panasonic.com	428	desktop	2	179.963516	16	3
business.panasonic.com	524	desktop	1	70.86663267	16	3
business.panasonic.com	620	desktop	3	373.414432	16	3
business.panasonic.com	84012	desktop	50.6	7477.150011	16	3
business.panasonic.com	84044	desktop	1	127.6588794	16	3
business.panasonic.com	84013	desktop	17.6	2702.000823	16	4
business.panasonic.com	84045	desktop	8	1246.18704	16	4
business.panasonic.com	398	desktop	7.2	257.699832	16	4
business.panasonic.com	84046	desktop	2	276.4710877	16	4
business.panasonic.com	591	desktop	2	337.9862847	16	4
business.panasonic.com	84015	desktop	4	608.6735957	16	4
business.panasonic.com	84047	desktop	4	922.8743158	16	4
business.panasonic.com	112	desktop	6	312.5899079	16	4
business.panasonic.com	144	desktop	4.6	688.9748943	16	4
business.panasonic.com	208	desktop	7.4	1473.397435	16	4
business.panasonic.com	400	desktop	2	222.3805909	16	4
business.panasonic.com	528	desktop	7	783.0320079	16	4
business.panasonic.com	688	desktop	4	377.8182365	16	4
business.panasonic.com	752	desktop	8	1411.373449	16	4
