clickstream_sample.ts	clickstream_sample.source_id	clickstream_sample.sub_id	clickstream_sample.user_id	clickstream_sample.session_id	clickstream_sample.user_ip	clickstream_sample.country_id	clickstream_sample.user_agent	clickstream_sample.is_from_one_way	clickstream_sample.is_link	clickstream_sample.http_referer	clickstream_sample.previous_site	clickstream_sample.requested_site	clickstream_sample.http_code	clickstream_sample.http_redirect_to_url	clickstream_sample.content_type	clickstream_sample.application_name	clickstream_sample.is_from_browser	clickstream_sample.version	clickstream_sample.client_redirect	clickstream_sample.client_redirect_duration	clickstream_sample.version_number	clickstream_sample.server_redirect	clickstream_sample.ip_hash	clickstream_sample.year	clickstream_sample.month	clickstream_sample.day	clickstream_sample.app
1494747632.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.google.com.sa/	https://www.google.com.sa/maps/dir/Charles+de+Gaulle+Airport,+95700+Roissy-en-France,+France/Hotel+Mercure+Paris+Bastille+Marais,+53+Rue+Richard+Lenoir,+75011+Paris,+France/@48.9288959,2.3913305,12z/am=t/data=!4m22!4m21!1m5!1m1!1s0x47e63e038e4ccf5b:0x42be0982f5ba62c!2m2!1d2.5479245!2d49.0096906!1m5!1m1!1s0x47e66df7b161af61:0x40677d63ed1d8f70!2m2!1d2.3805625!2d48.8571536!2m6!5e0!5e1!5e2!5e3!7e2!8j1499263200!3e3!5i2	https://www.google.com.sa/url?sa=t&rct=j&url=http%3A%2F%2Fwww.vianavigo.com%2F&source=maps&ei=xwkYWcHeJcy0Ud2RipAG&cd=1&usg=AFQjCNE12Qa8U8FANBfFEb_KkAMTHTpU5w&ved=0ahUKEwiB3ujZ8O7TAhVMWhQKHd2IAmIQ-CQIMCgEMAA	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747651.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.google.com.sa/	https://www.google.com.sa/maps/dir/Charles+de+Gaulle+Airport,+95700+Roissy-en-France,+France/Hotel+Mercure+Paris+Bastille+Marais,+53+Rue+Richard+Lenoir,+75011+Paris,+France/@48.9288959,2.3913305,12z/am=t/data=!4m22!4m21!1m5!1m1!1s0x47e63e038e4ccf5b:0x42be0982f5ba62c!2m2!1d2.5479245!2d49.0096906!1m5!1m1!1s0x47e66df7b161af61:0x40677d63ed1d8f70!2m2!1d2.3805625!2d48.8571536!2m6!5e0!5e1!5e2!5e3!7e2!8j1499263200!3e3!5i2	http://www.vianavigo.com/	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747652.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.google.com.sa/	https://www.google.com.sa/maps/dir/Charles+de+Gaulle+Airport,+95700+Roissy-en-France,+France/Hotel+Mercure+Paris+Bastille+Marais,+53+Rue+Richard+Lenoir,+75011+Paris,+France/@48.9288959,2.3913305,12z/am=t/data=!4m22!4m21!1m5!1m1!1s0x47e63e038e4ccf5b:0x42be0982f5ba62c!2m2!1d2.5479245!2d49.0096906!1m5!1m1!1s0x47e66df7b161af61:0x40677d63ed1d8f70!2m2!1d2.3805625!2d48.8571536!2m6!5e0!5e1!5e2!5e3!7e2!8j1499263200!3e3!5i2	http://www.lebusdirect.com/	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747674.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	https://www.google.com.sa/	https://www.google.com.sa/maps/dir/Charles+de+Gaulle+Airport,+95700+Roissy-en-France,+France/Hotel+Mercure+Paris+Bastille+Marais,+53+Rue+Richard+Lenoir,+75011+Paris,+France/@48.9288959,2.3913305,12z/am=t/data=!4m22!4m21!1m5!1m1!1s0x47e63e038e4ccf5b:0x42be0982f5ba62c!2m2!1d2.5479245!2d49.0096906!1m5!1m1!1s0x47e66df7b161af61:0x40677d63ed1d8f70!2m2!1d2.3805625!2d48.8571536!2m6!5e0!5e1!5e2!5e3!7e2!8j1499263200!3e3!5i2	https://www.google.com.sa/maps/dir/Charles+de+Gaulle+Airport,+95700+Roissy-en-France,+France/Hotel+Mercure+Paris+Bastille+Marais,+53+Rue+Richard+Lenoir,+75011+Paris,+France/@48.9083143,2.3907405,12.42z/am=t/data=!4m22!4m21!1m5!1m1!1s0x47e63e038e4ccf5b:0x42be0982f5ba62c!2m2!1d2.5479245!2d49.0096906!1m5!1m1!1s0x47e66df7b161af61:0x40677d63ed1d8f70!2m2!1d2.3805625!2d48.8571536!2m6!5e0!5e1!5e2!5e3!7e2!8j1499263200!3e3!5i2	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747753.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.lebusdirect.com/	http://www.lebusdirect.com/	http://www.lebusdirect.com/itineraire.html	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747796.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.lebusdirect.com/itineraire.html	http://boutique.lebusdirect.com/fr/?ligne=4&billet=1	http://boutique.lebusdirect.com/fr/?ligne=4&billet=1	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747815.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.lebusdirect.com/	http://boutique.lebusdirect.com/fr/?ligne=4&billet=1	http://www.lebusdirect.com/itineraire.html	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747823.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.lebusdirect.com/	http://www.vianavigo.com/	http://www.lebusdirect.com/itineraire.html	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747852.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.lebusdirect.com/	http://www.vianavigo.com/	http://www.vianavigo.com/#mrq=&id=14&departure=A%C3%A9roport+CDG+Terminal+2+TGV%2C+Tremblay-en-France&departureType=StopArea&departureCity=Tremblay-en-France&departureCoordX=&departureCoordY=&departureExternalCode=8700147&departureCityCode=93290&arrival=BASTILLE%2C+Paris&arrivalType=StopArea&arrivalCity=Paris&arrivalCityCode=75000&arrivalCoordX=&arrivalCoordY=&arrivalExternalCode=59238&date=NaN%2FNaN%2FNaN&dateFormat=dd%2FMM%2Fyyyy&sens=1&hour=14&min=20&moreCriterions=false&via=Via+(Arr%C3%AAt)&viaType=&viaCity=&viaCityCode=&viaExternalCode=&train=true&_train=on&rer=true&_rer=on&metro=true&_metro=on&bus=true&_bus=on&tram=true&_tram=on&walkSpeed=1&spcar=%C3%A2&hpx=1&hat=1&L=0&submitSearchItinerary=&ajid=/stif_web_carto/comp/itinerary/search.html_	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
1494747869.000	576	chrome	e44r3c770c5kmgfid8poj6ddcon		37.216.232.0	682	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36	0	0	http://www.vianavigo.com/	http://www.vianavigo.com/#mrq=&id=14&departure=A%C3%A9roport+CDG+Terminal+2+TGV%2C+Tremblay-en-France&departureType=StopArea&departureCity=Tremblay-en-France&departureCoordX=&departureCoordY=&departureExternalCode=8700147&departureCityCode=93290&arrival=BASTILLE%2C+Paris&arrivalType=StopArea&arrivalCity=Paris&arrivalCityCode=75000&arrivalCoordX=&arrivalCoordY=&arrivalExternalCode=59238&date=NaN%2FNaN%2FNaN&dateFormat=dd%2FMM%2Fyyyy&sens=1&hour=14&min=20&moreCriterions=false&via=Via+(Arr%C3%AAt)&viaType=&viaCity=&viaCityCode=&viaExternalCode=&train=true&_train=on&rer=true&_rer=on&metro=true&_metro=on&bus=true&_bus=on&tram=true&_tram=on&walkSpeed=1&spcar=%C3%A2&hpx=1&hat=1&L=0&submitSearchItinerary=&ajid=/stif_web_carto/comp/itinerary/search.html_	http://www.vianavigo.com/en/routes-district-maps/	0								1.0		32e693396c6e246e5cb6e71917094cc7	17	5	14	kafka-consumer-a06
