monthlycountrydis.site	monthlycountrydis.country	monthlycountrydis.dvisits	monthlycountrydis.dusers	monthlycountrydis.mvisits	monthlycountrydis.musers	monthlycountrydis.year	monthlycountrydis.month
squareyards.com*	634	1279.3743965842916	1279.3743965842916	0.0	0.0	16	7
squareyards.com*	784	14651.99656997009	13986.633656068298	93043.92097761965	58204.5941154379	16	7
squareyards.com*	682	442.14419744931126	442.14419744931126	19424.591983053513	12987.999699392454	16	7
squareyards.com*	356	67175.0305807886	58177.40369556719	122719.18956283994	104813.55035273377	16	7
squareyards.com*	634	5899.57388305976	5899.57388305976	0.0	0.0	16	8
squareyards.com*	784	5957.623946290578	5957.623946290578	45266.61658502148	27656.741371132575	16	8
squareyards.com*	682	12684.194990601485	12426.580167247903	5303.573058078681	2739.431000884243	16	8
squareyards.com*	356	58823.37686198336	45846.33606101854	125729.27274377746	104656.9992077747	16	8
squareyards.com*	634	2644.4043841142934	2644.4043841142934	0.0	0.0	16	9
squareyards.com*	784	89105.17954994217	86330.89676655043	28286.92740387344	15089.389714874487	16	9
squareyards.com*	682	57594.4087237251	54415.2468603592	18493.252402726437	9114.200968431454	16	9
squareyards.com*	356	45081.63753081971	37831.43039018507	111396.1768879181	84880.4036266579	16	9
squareyards.com*	634	25590.370111145272	24412.14872614034	0.0	0.0	16	10
squareyards.com*	784	212394.67592432507	202759.455056192	35535.438398128266	18345.917125605847	16	10
squareyards.com*	682	51419.09852978846	50147.08216926866	14162.870013095373	7407.297271465663	16	10
squareyards.com*	356	43625.57383535973	37196.947175737994	102890.74198066097	67330.86858788242	16	10
squareyards.com*	634	3855.6641586179676	3795.242905181587	0.0	0.0	16	11
squareyards.com*	784	45649.979224268835	40886.57142576475	27790.36085002938	14253.443592859872	16	11
squareyards.com*	682	1330.6684812812834	1330.6684812812834	7989.788407158161	3975.371299029103	16	11
squareyards.com*	356	31720.968139402845	27886.11173276838	48210.528608692	31357.450747101204	16	11
squareyards.com*	634	1138.8378229641864	985.1866994421715	0.0	0.0	16	12
squareyards.com*	784	11382.27355330879	8406.626262735756	27429.913973493058	14462.365133337473	16	12
squareyards.com*	682	2245.469602284404	2198.537958007612	62454.790499696435	33466.111379326016	16	12
squareyards.com*	356	24448.361202935936	21691.37081655364	49231.59195709041	28524.48820898399	16	12
squareyards.com*	634	4048.5009520745807	3652.1356714082813	0.0	0.0	17	1
squareyards.com*	784	10662.853202182088	9907.539880056032	62017.09770945812	33137.34813649976	17	1
squareyards.com*	682	6155.05836918726	5999.44406819522	125591.77802481574	88650.0803577284	17	1
squareyards.com*	356	34428.00080851317	31776.173519136093	128575.29319410241	118346.47817875649	17	1
squareyards.com*	634	2747.228384891179	2747.228384891179	0.0	0.0	17	2
squareyards.com*	784	8389.30247163752	8326.528780086608	51415.93482223069	25956.91292187425	17	2
squareyards.com*	682	6481.519482288765	5924.842659364845	146584.4664860859	104586.75579983015	17	2
squareyards.com*	356	39197.037900878844	36029.50824454629	226149.93806571662	213162.30531919128	17	2
squareyards.com*	634	1721.5566192342558	1721.5566192342558	0.0	0.0	17	3
squareyards.com*	784	7968.80204237792	7840.405685028049	151649.6536230743	87656.00865688811	17	3
squareyards.com*	682	2866.6727739550697	2866.6727739550697	199312.54284596897	138900.06770825028	17	3
squareyards.com*	356	40617.78805991552	34944.19399318681	516559.123096369	502848.5810209683	17	3
squareyards.com*	634	1225.9940891137437	1225.9940891137437	0.0	0.0	17	4
squareyards.com*	784	11540.381792327602	11386.327128339344	119187.19959338951	69349.42716310403	17	4
squareyards.com*	682	8695.858958698313	8608.157450924455	257394.71701223383	187508.4273995333	17	4
squareyards.com*	356	43429.39020641255	37167.19794478682	374192.15072236035	356776.9692787395	17	4
squareyards.com*	634	254.82397579984752	254.82397579984752	0.0	0.0	17	5
squareyards.com*	784	7758.576270376205	7260.2815543230045	49685.202864832856	27599.43585031354	17	5
squareyards.com*	682	1337.6495389672332	1337.6495389672332	311536.80429583037	265520.9776542347	17	5
squareyards.com*	356	52744.64434369715	46642.970129575544	503161.8367604459	464440.7211136198	17	5
squareyards.com*	634	288.70865343758436	288.70865343758436	0.0	0.0	17	6
squareyards.com*	784	15569.42159393043	13657.293405057992	254349.77365037892	183540.678445255	17	6
squareyards.com*	682	336.9121297251189	336.9121297251189	69977.5472592104	41031.08585005749	17	6
squareyards.com*	356	79303.70448774677	70051.78703070487	989623.5184978379	929595.8875467916	17	6
