ts	source_id	sub_id	user_id	session_id	user_ip	country_id	user_agent	is_from_one_way	is_link	http_referer	previous_site	requested_site	http_code	http_redirect_to_url	content_type	application_name	is_from_browser	version	client_redirect	client_redirect_duration	version_number	server_redirect	ip_hash	year	month	day	app
1493413360	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://cnj.craigslist.org/search/cta	https://newjersey.craigslist.org/cto/6103820681.html	https://cnj.craigslist.org/search/cta?query=240sx	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493413363	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://cnj.craigslist.org/search/cta?query=240sx	https://cnj.craigslist.org/search/cta?query=240sx	https://newjersey.craigslist.org/cto/6098487433.html	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493413401	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://cnj.craigslist.org/search/cta	https://newjersey.craigslist.org/cto/6098487433.html	https://cnj.craigslist.org/search/cta?query=240sx	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493413494	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.pepboys.com/search/?term=lock+nut	https://www.google.com/search?q=how+to+get+a+locking+nut+off+without+the+key&oq=how+to+get+locking+nut+&aqs=chrome.2.69i57j0l5.5599j0j7&sourceid=chrome&ie=UTF-8	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493413520	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0	https://www.google.com/	https://www.google.com/search?q=how+to+get+a+locking+nut+off+without+the+key&oq=how+to+get+locking+nut+&aqs=chrome.2.69i57j0l5.5599j0j7&sourceid=chrome&ie=UTF-8	https://www.youtube.com/watch?v=pyBHK2jjupg	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493413601	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=pyBHK2jjupg	https://www.youtube.com/watch?v=mJUUyjJqk5A	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493413790	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=mJUUyjJqk5A	https://www.youtube.com/watch?v=LGpuFwEKpUM	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493413893	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=LGpuFwEKpUM	https://www.youtube.com/watch?v=VvK-o-vUx7c	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414044	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=VvK-o-vUx7c	https://www.youtube.com/watch?v=9insNChLHmU	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414049	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=9insNChLHmU	https://www.youtube.com/watch?v=VvK-o-vUx7c	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414058	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=VvK-o-vUx7c	https://www.youtube.com/watch?v=9insNChLHmU	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414089	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=9insNChLHmU	https://www.youtube.com/watch?v=MKQJok2TnYk	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414270	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=MKQJok2TnYk	https://www.amazon.com/gp/product/B008	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414280	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=MKQJok2TnYk	https://www.amazon.com/gp/product/B000	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414284	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=MKQJok2TnYk	https://www.amazon.com/gp/product/B008	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414292	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=MKQJok2TnYk	https://www.amazon.com/DEWALT-DW1354-14-Piece-Titanium-Drill/dp/B0045PQ762/ref=as_li_ss_tl?ie=UTF8&keywords=dewalt%20pilot%20point&qid=1459295862&ref_=sr_1_2&sr=8-2&linkCode=sl1&tag=httpswwwy0025-20&linkId=bde0181375ca81621a4bed745b80d046	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414382	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=MKQJok2TnYk	https://www.youtube.com/watch?v=N31qM6hOTEw	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414547	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=N31qM6hOTEw	https://www.youtube.com/watch?v=unAAHWtaQ0o	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
1493414603	550	chrome	jdko5mq1djs4e3ninrn0o21o75a		65.51.107.0	840		0	0		https://www.youtube.com/watch?v=unAAHWtaQ0o	https://www.youtube.com/watch?v=l833ta7V6FY	0								5.0.4		37d69704a91cfe267c38e5d1700bb3a2	17	4	28	kafka-consumer-a03
