app	devices	source	users	sessions	usagetime	qualified_active_users	year	month	day
com.venmo	1	5179	0	0	0	0	17	3	19
com.venmo	1	886	0	0	0	0	17	3	19
com.venmo	83	5497	3	3	966.473	39	17	3	19
com.venmo	3	656	0	0	0	1	17	4	12
com.venmo	15	971	1	5	263.307	3	17	3	19
com.venmo	4	5160	1	1	80.222	3	17	4	10
com.venmo	9487	5019	175	241	114566.194	2618	17	4	10
com.venmo	4	5130	0	0	0	1	17	4	10
com.venmo	12243	5304	187	289	144928.742	3847	17	4	10
com.venmo	19	5072	1	1	38.22	15	17	3	19
com.venmo	1	650	0	0	0	0	17	3	19
com.venmo	17	902	0	0	0	4	17	3	19
com.venmo	22	5059	1	2	158.691	17	17	4	13
com.venmo	680	5087	14	19	3808.292	274	17	4	13
com.venmo	57	5003	0	0	0	17	17	3	19
com.venmo	506	960	13	17	1356.447	309	17	4	13
com.venmo	50	5197	2	2	80.067	18	17	4	13
com.venmo	530	5482	37	68	10840.96	343	17	4	13
com.venmo	3	656	0	0	0	1	17	3	19
com.venmo	1	903	0	0	0	0	17	3	19
com.venmo	13	5067	0	0	0	2	17	4	13
com.venmo	81	981	0	0	0	43	17	4	13
com.venmo	6	654	0	0	0	3	17	3	19
com.venmo	120	957	6	7	179.321	68	17	3	19
com.venmo	42	990	3	4	310.36	25	17	3	19
com.venmo	40	951	0	0	0	5	17	4	13
com.venmo	26	5149	1	6	1120.068	14	17	4	13
com.venmo	1546	5220	67	92	22536.42	729	17	4	13
com.venmo	4	5401	0	0	0	1	17	4	13
com.venmo	4238	952	53	117	6762.805	591	17	4	13
com.venmo	5	5415	1	5	655.189	3	17	4	13
com.venmo	1	870	0	0	0	1	17	4	13
com.venmo	59	966	2	4	123.157	29	17	4	13
com.venmo	5	654	0	0	0	4	17	4	13
com.venmo	138	957	5	6	2053.895	71	17	4	13
com.venmo	39	990	0	0	0	22	17	4	13
com.venmo	3	864	0	0	0	1	17	4	13
com.venmo	12	878	0	0	0	9	17	4	13
com.venmo	2	905	0	0	0	1	17	4	13
com.venmo	3	656	0	0	0	1	17	4	10
com.venmo	21	5120	0	0	0	11	17	4	13
com.venmo	1	5179	0	0	0	0	17	4	13
com.venmo	1	886	0	0	0	1	17	4	13
com.venmo	3	5134	0	0	0	1	17	4	13
com.venmo	18	5084	1	2	409.835	10	17	4	13
com.venmo	7	5129	0	0	0	5	17	4	13
com.venmo	47	5240	2	3	173.116	26	17	4	13
com.venmo	9486	5019	143	217	38784.487	2501	17	4	13
com.venmo	3	5130	0	0	0	1	17	4	13
com.venmo	12291	5304	183	312	127297.843	3721	17	4	13
com.venmo	48	5180	2	3	238.184	24	17	4	13
com.venmo	71	5497	6	8	1677.787	30	17	4	13
com.venmo	1	651	0	0	0	0	17	4	13
com.venmo	1	903	0	0	0	0	17	4	13
com.venmo	32	5048	0	0	0	6	17	4	13
com.venmo	2	5126	0	0	0	2	17	4	13
com.venmo	3	5177	0	0	0	2	17	4	13
com.venmo	5	5477	0	0	0	3	17	4	13
com.venmo	28	5072	0	0	0	19	17	4	13
com.venmo	2	650	0	0	0	0	17	4	13
com.venmo	17	902	1	1	380.016	5	17	4	13
com.venmo	59	5003	0	0	0	16	17	4	13
com.venmo	7	5125	3	4	859.75	6	17	4	14
com.venmo	5	883	0	0	0	5	17	4	14
com.venmo	330	961	4	4	595.458	108	17	4	14
com.venmo	10	971	0	0	0	5	17	4	13
com.venmo	5	5160	1	1	150.489	3	17	4	13
com.venmo	1	5121	0	0	0	1	17	4	14
