site	country	weekbegins	weekends	direct	displayads	mail	organic_search	paid_search	referrals	social
jaeger.co.uk*	999	24.07.2017	30.07.2017	0.194864048	0	0.203927492	0.385196375	0.060422961	0.140483384	0.01510574
bathstore.com*	999	24.07.2017	30.07.2017	0.127717391	0.009057971	0.027173913	0.658514493	0.105072464	0.067934783	0.004528986
dabs.com*	999	24.07.2017	30.07.2017	0.333333333	0	0	0.5	0	0.166666667	0
ebuyer.com*	999	24.07.2017	30.07.2017	0.318536338	0.011174915	0.042060567	0.240899837	0.103790635	0.256239574	0.027298133
habitat.co.uk*	999	24.07.2017	30.07.2017	0.21884273	0.003709199	0.011127596	0.46735905	0.114614243	0.148738872	0.035608309
josephjoseph.com*	999	24.07.2017	30.07.2017	0.276673866	0.007559395	0.022678186	0.455075594	0.052915767	0.110367171	0.074730022
fisherpaykel.com*	999	24.07.2017	30.07.2017	0.198289902	0.002850163	0.051302932	0.571742671	0.025651466	0.127361564	0.022801303
newlook.com*	999	24.07.2017	30.07.2017	0.259198689	0.013761283	0.046738451	0.35561865	0.075936614	0.207177255	0.041569057
swooneditions.com*	999	24.07.2017	30.07.2017	0.34587156	0	0	0.169724771	0.30733945	0.117431193	0.059633028
jdsports.co.uk*	999	24.07.2017	30.07.2017	0.265106944	0.018706013	0.030537167	0.404177794	0.086145113	0.138972915	0.056354054
furniturevillage.co.uk*	999	24.07.2017	30.07.2017	0.18955774	0.004299754	0.012899263	0.607493857	0.103194103	0.06965602	0.012899263
lighting-direct.co.uk*	999	24.07.2017	30.07.2017	0.147874307	0	0	0.704251386	0.120147874	0.018484288	0.009242144
riverisland.com*	999	24.07.2017	30.07.2017	0.204656068	0.01889168	0.046130848	0.457427628	0.038808491	0.193519429	0.040565857
shop.mango.com#	999	24.07.2017	30.07.2017	0.317359592	0.02087545	0.06229782	0.338872604	0.106937061	0.129346128	0.024311344
sofology.co.uk*	999	24.07.2017	30.07.2017	0.199034982	0	0	0.262967431	0.4053076	0.086851628	0.045838359
sweatybetty.com*	999	24.07.2017	30.07.2017	0.272761287	0.059366426	0.05238214	0.295086056	0.069842854	0.202544275	0.048016962
blinds-2go.co.uk*	999	24.07.2017	30.07.2017	0.124768946	0	0.083179298	0.290203327	0.365988909	0.135859519	0
toysrus.co.uk*	999	24.07.2017	30.07.2017	0.165862503	0.02430929	0.025815176	0.620516918	0.046897569	0.103690955	0.012907588
currys.co.uk*	999	24.07.2017	30.07.2017	0.209833156	0.016263598	0.024509572	0.455186827	0.15956594	0.107106443	0.027534464
farfetch.com*	999	24.07.2017	30.07.2017	0.280605418	0.076584645	0.034245919	0.232058747	0.180856582	0.146780527	0.048868163
hughes.co.uk*	999	24.07.2017	30.07.2017	0.261654135	0.105263158	0	0.482706767	0.007518797	0.127819549	0.015037594
office.co.uk*	999	24.07.2017	30.07.2017	0.165628682	0.044436963	0.035347585	0.498232621	0.099814846	0.117825282	0.038714021
diy.com*	999	24.07.2017	30.07.2017	0.204117513	0.005462439	0.041659322	0.551661648	0.093749927	0.093510181	0.009838971
hotter.com*	999	24.07.2017	30.07.2017	0.174089069	0.071139387	0.182186235	0.227877386	0.060728745	0.259109312	0.024869867
notonthehighstreet.com*	999	24.07.2017	30.07.2017	0.164344517	0.008513422	0.033521599	0.534688509	0.0736411	0.13325256	0.052038292
